https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1545696000,2018-12-25,ETH/USD,141.24,141.6,125.0,132.49,9950.07074,1318284.8723426
1545609600,2018-12-24,ETH/USD,131.82,160.08,131.06,140.68,26130.197919,3675996.24324492
1545523200,2018-12-23,ETH/USD,117.2,134.72,117.01,131.21,8778.960436,1151887.39880756
1545436800,2018-12-22,ETH/USD,109.28,117.4,107.01,117.2,4074.182712,477494.2138464
1545350400,2018-12-21,ETH/USD,115.71,119.3,106.0,108.96,7428.825797,809444.85884112
1545264000,2018-12-20,ETH/USD,100.43,117.34,99.24,115.89,9650.73405,1118423.5690545
1545177600,2018-12-19,ETH/USD,101.56,109.2,99.19,100.7,10011.309451,1008138.8617156999
1545091200,2018-12-18,ETH/USD,95.2,101.58,92.51,100.97,5973.685429,603163.01776613
1545004800,2018-12-17,ETH/USD,85.76,99.66,85.61,95.0,7037.549714,668567.22283
1544918400,2018-12-16,ETH/USD,85.12,88.99,84.88,85.94,3278.765353,281777.09443681996
1544832000,2018-12-15,ETH/USD,84.23,85.9,83.0,84.86,2217.242812,188155.22502632
1544745600,2018-12-14,ETH/USD,87.29,88.0,83.0,84.39,3228.399565,272444.63929035
1544659200,2018-12-13,ETH/USD,90.32,91.58,85.21,87.1,2534.413261,220747.3950331
1544572800,2018-12-12,ETH/USD,88.79,92.5,87.73,90.33,3748.592119,338610.32610927
1544486400,2018-12-11,ETH/USD,90.7,92.53,87.0,88.57,4345.391299,384871.30735242995
1544400000,2018-12-10,ETH/USD,94.08,96.38,89.31,91.0,6081.996808,553461.709528
1544313600,2018-12-09,ETH/USD,92.16,99.2,89.86,94.22,5686.598237,535791.28589014
1544227200,2018-12-08,ETH/USD,94.41,99.3,85.78,92.19,8811.202301,812304.7401291899
1544140800,2018-12-07,ETH/USD,91.79,102.5,83.23,94.42,16957.06326,1601085.9130092
1544054400,2018-12-06,ETH/USD,103.12,105.46,91.0,91.81,9639.89081,885038.3752661
1543968000,2018-12-05,ETH/USD,109.58,110.2,103.0,103.12,4559.739214,470200.30774768005
