https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USD
1689638400000,2023-07-18 00:00:00,FIL/USD,4.3304,4.3716,4.18,4.2672,2300.578946,9817.0304783712
1689552000000,2023-07-17 00:00:00,FIL/USD,4.3478,4.4663,4.2302,4.3304,2152.145034,9319.648855233601
1689465600000,2023-07-16 00:00:00,FIL/USD,4.4321,4.4512,4.3176,4.3478,1302.660088,5663.705530606401
1689379200000,2023-07-15 00:00:00,FIL/USD,4.4271,4.475,4.3755,4.4321,1358.825761,6022.4516553281
1689292800000,2023-07-14 00:00:00,FIL/USD,4.6862,4.7048,4.3152,4.4271,34862.62085,154340.308765035
1689206400000,2023-07-13 00:00:00,FIL/USD,4.1748,4.6862,4.1748,4.6862,11846.267664,55513.979527036805
1689120000000,2023-07-12 00:00:00,FIL/USD,4.2665,4.3663,4.1502,4.1748,11792.553326,49231.5516253848
1689033600000,2023-07-11 00:00:00,FIL/USD,4.3133,4.3211,4.2094,4.2665,960.667973,4098.6899068044995
1688947200000,2023-07-10 00:00:00,FIL/USD,4.3058,4.4083,4.1466,4.3133,9105.828368,39276.1694996944
1688860800000,2023-07-09 00:00:00,FIL/USD,4.2736,4.3679,4.2736,4.3058,196.386572,845.6013017175999
1688774400000,2023-07-08 00:00:00,FIL/USD,4.357,4.4087,4.2192,4.2736,11416.646058,48790.1785934688
1688688000000,2023-07-07 00:00:00,FIL/USD,4.3258,4.551,4.2226,4.357,18669.163464,81341.54521264801
1688601600000,2023-07-06 00:00:00,FIL/USD,4.6014,4.7787,4.3152,4.3258,29999.269049,129770.8380521642
1688515200000,2023-07-05 00:00:00,FIL/USD,4.5365,4.8031,4.3583,4.6014,23108.630998,106332.0546741972
1688428800000,2023-07-04 00:00:00,FIL/USD,4.7368,4.7599,4.4458,4.5365,4516.830528,20490.601690272004
1688342400000,2023-07-03 00:00:00,FIL/USD,4.0922,4.9252,4.0896,4.7368,17607.545349,83403.4208091432
1688256000000,2023-07-02 00:00:00,FIL/USD,4.1005,4.1272,3.9854,4.0922,2969.640353,12152.3622525466
1688169600000,2023-07-01 00:00:00,FIL/USD,3.9536,4.3073,3.9079,4.1005,6244.309138,25604.789620369
1688083200000,2023-06-30 00:00:00,FIL/USD,3.8447,4.0423,3.5593,3.9536,8311.163462,32859.0158633632
1687996800000,2023-06-29 00:00:00,FIL/USD,3.7633,3.8876,3.7633,3.8447,2814.740255,10821.8318583985
1687910400000,2023-06-28 00:00:00,FIL/USD,4.0171,4.1531,3.6944,3.7633,3237.547877,12183.8639255141
1687824000000,2023-06-27 00:00:00,FIL/USD,3.9431,4.0658,3.9259,4.0171,9635.545829,38706.9511496759
1687737600000,2023-06-26 00:00:00,FIL/USD,4.1365,4.1372,3.907,3.9431,5862.811783,23117.6531415473
1687651200000,2023-06-25 00:00:00,FIL/USD,3.9296,4.2731,3.9296,4.1365,6294.352883,26036.590700529498
1687564800000,2023-06-24 00:00:00,FIL/USD,4.0387,4.0611,3.83,3.9296,2420.017043,9509.6989721728
1687478400000,2023-06-23 00:00:00,FIL/USD,3.9151,4.1455,3.9151,4.0387,20380.942035,82312.51059675451
1687392000000,2023-06-22 00:00:00,FIL/USD,3.9514,4.0985,3.91,3.9151,6919.057847,27088.8033767897
1687305600000,2023-06-21 00:00:00,FIL/USD,3.8172,4.1,3.7714,3.9514,3887.520307,15361.1477410798
1687219200000,2023-06-20 00:00:00,FIL/USD,3.6986,4.1356,3.6338,3.8172,4649.33411,17747.438164692
1687132800000,2023-06-19 00:00:00,FIL/USD,3.7,3.71,3.6084,3.6986,1925.83939,7122.909567854
1687046400000,2023-06-18 00:00:00,FIL/USD,3.7069,3.7568,3.6692,3.7,462.053512,1709.5979944
1686960000000,2023-06-17 00:00:00,FIL/USD,3.6887,3.7979,3.6614,3.7069,1458.210229,5405.4394978801
1686873600000,2023-06-16 00:00:00,FIL/USD,3.6589,3.7314,3.59,3.6887,6940.561574,25601.649478013802
1686787200000,2023-06-15 00:00:00,FIL/USD,3.5773,3.7,3.4901,3.6589,5042.468356,18449.8874677684
1686700800000,2023-06-14 00:00:00,FIL/USD,3.8278,4.2999,3.55,3.5773,4972.784728,17789.1428074744
1686614400000,2023-06-13 00:00:00,FIL/USD,3.5434,4.3798,3.5434,3.8278,6103.392633,23362.5663205974
1686528000000,2023-06-12 00:00:00,FIL/USD,3.4118,3.6318,3.319,3.5434,5127.609654,18169.1720479836
1686441600000,2023-06-11 00:00:00,FIL/USD,3.4868,3.4947,3.3551,3.4118,4215.594692,14382.7659701656
1686355200000,2023-06-10 00:00:00,FIL/USD,4.0375,4.0375,2.7098,3.4868,51294.486549,178853.61569905322
1686268800000,2023-06-09 00:00:00,FIL/USD,4.1002,4.1281,3.9625,4.0375,3764.81393,15200.436242374997
1686182400000,2023-06-08 00:00:00,FIL/USD,4.1246,4.1679,4.085,4.1002,7042.437753,28875.4032748506
