https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XLM
1688947200000,2023-07-10 00:00:00,XLM/USD,0.098926,0.1007,0.097172,0.099971,115874.99283609676,1159086.06331933
1688860800000,2023-07-09 00:00:00,XLM/USD,0.099804,0.10004,0.098606,0.098979,23839.572680001547,240854.85486822
1688774400000,2023-07-08 00:00:00,XLM/USD,0.097119,0.10021,0.096642,0.099836,77457.98150760839,775852.21270492
1688688000000,2023-07-07 00:00:00,XLM/USD,0.0957,0.097497,0.09507,0.097361,78558.18522652028,806875.29119997
1688601600000,2023-07-06 00:00:00,XLM/USD,0.10046,0.10232,0.09595,0.09604,167138.14177676494,1740297.18634699
1688515200000,2023-07-05 00:00:00,XLM/USD,0.1035,0.1047,0.099576,0.10058,104204.05933797911,1036031.61004155
1688428800000,2023-07-04 00:00:00,XLM/USD,0.10599,0.10655,0.103,0.10345,71193.48138698128,688192.18353776
1688342400000,2023-07-03 00:00:00,XLM/USD,0.10726,0.10954,0.10501,0.1058,74672.76978844147,705791.77493801
1688256000000,2023-07-02 00:00:00,XLM/USD,0.10741,0.10811,0.10477,0.10742,60338.72290252187,561708.46120389
1688169600000,2023-07-01 00:00:00,XLM/USD,0.11052,0.11174,0.10583,0.10752,109829.71563025675,1021481.73019212
1688083200000,2023-06-30 00:00:00,XLM/USD,0.1022,0.118,0.10165,0.11083,599546.9118067457,5409608.5158057
1687996800000,2023-06-29 00:00:00,XLM/USD,0.1004,0.10467,0.1004,0.10236,82524.24389781043,806215.74734086
1687910400000,2023-06-28 00:00:00,XLM/USD,0.10264,0.10581,0.09906,0.10036,343078.2580283861,3418476.06644466
1687824000000,2023-06-27 00:00:00,XLM/USD,0.092281,0.10331,0.092281,0.10261,159453.66211133465,1553977.80051978
1687737600000,2023-06-26 00:00:00,XLM/USD,0.091768,0.092761,0.090642,0.092015,51309.055930687355,557616.21399432
1687651200000,2023-06-25 00:00:00,XLM/USD,0.090683,0.092485,0.090456,0.091711,180830.85996262426,1971746.68210601
1687564800000,2023-06-24 00:00:00,XLM/USD,0.089421,0.09132,0.088823,0.090554,57526.99893793254,635278.38569177
1687478400000,2023-06-23 00:00:00,XLM/USD,0.086955,0.090184,0.086955,0.089591,68658.02062550189,766349.5286971
1687392000000,2023-06-22 00:00:00,XLM/USD,0.086749,0.089374,0.08588,0.086794,87467.42220023426,1007758.85660569
1687305600000,2023-06-21 00:00:00,XLM/USD,0.082867,0.08773,0.082186,0.086879,406944.55043440947,4684038.15000644
1687219200000,2023-06-20 00:00:00,XLM/USD,0.080008,0.083309,0.07838,0.08286,114157.30230191788,1377713.03767702
1687132800000,2023-06-19 00:00:00,XLM/USD,0.079702,0.080611,0.079013,0.080063,28356.631333764504,354178.97572867
1687046400000,2023-06-18 00:00:00,XLM/USD,0.079662,0.080993,0.079293,0.079566,24476.645994650306,307626.95114308
1686960000000,2023-06-17 00:00:00,XLM/USD,0.077319,0.080567,0.077061,0.079762,31134.180390187805,390338.5119504
1686873600000,2023-06-16 00:00:00,XLM/USD,0.076486,0.079023,0.076084,0.07746,50859.34087517573,656588.4440379
1686787200000,2023-06-15 00:00:00,XLM/USD,0.079089,0.079536,0.075321,0.076492,34616.98700732038,452556.96030068997
1686700800000,2023-06-14 00:00:00,XLM/USD,0.082723,0.083063,0.077604,0.079269,62499.28662104764,788445.5035518
1686614400000,2023-06-13 00:00:00,XLM/USD,0.083112,0.086445,0.082369,0.082524,141493.2534699268,1714570.95475167
1686528000000,2023-06-12 00:00:00,XLM/USD,0.083656,0.083656,0.082052,0.08306,51448.83423348807,619417.70086068
1686441600000,2023-06-11 00:00:00,XLM/USD,0.082235,0.084685,0.081185,0.083626,62492.902902091286,747290.35111199
1686355200000,2023-06-10 00:00:00,XLM/USD,0.088928,0.088928,0.077837,0.082191,622363.4522503476,7572160.60457164
1686268800000,2023-06-09 00:00:00,XLM/USD,0.087149,0.089071,0.086516,0.089047,27136.749477347534,304746.36402515
1686182400000,2023-06-08 00:00:00,XLM/USD,0.087453,0.088099,0.086867,0.087204,42807.080328637,490884.36687121
1686096000000,2023-06-07 00:00:00,XLM/USD,0.089508,0.090055,0.086694,0.087404,150579.1296312239,1722794.49031193
1686009600000,2023-06-06 00:00:00,XLM/USD,0.087932,0.089807,0.086693,0.089657,90703.29941664953,1011670.0248352
1685923200000,2023-06-05 00:00:00,XLM/USD,0.091311,0.091752,0.085281,0.087855,240748.19564888263,2740290.20145561
1685836800000,2023-06-04 00:00:00,XLM/USD,0.091889,0.09291,0.091343,0.091347,34278.9320228741,375260.62183623
