Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1564444800.0,2019-07-30,BTCUSD,9496.58,9736.01,9215.87,9578.95,2.24,21461.42
1564358400.0,2019-07-29,BTCUSD,9587.9,9702.6,9430.72,9496.58,1.865,17753.75
1564272000.0,2019-07-28,BTCUSD,9383.7,9754.99,9220,9587.9,1.236,11799.23
1564185600.0,2019-07-27,BTCUSD,9814.4,10200,9342.87,9383.7,48.17,463071.77
1564099200.0,2019-07-26,BTCUSD,9898.79,9898.79,9699.53,9814.4,2.579,25315.9
1564012800.0,2019-07-25,BTCUSD,9864.97,10179.72,9859.3,9898.79,8.534,86033.17
1563926400.0,2019-07-24,BTCUSD,9857.55,9887.17,9600,9864.97,1.129,10954.39
1563840000.0,2019-07-23,BTCUSD,10389.63,10389.63,9552.04,9857.55,2.912,29285.62
1563753600.0,2019-07-22,BTCUSD,10580.93,10660.52,10150,10389.63,9.003,92627.44
1563667200.0,2019-07-21,BTCUSD,10673.56,10797.71,10342.91,10580.93,3.974,42058.44
1563580800.0,2019-07-20,BTCUSD,10661.99,11000,10416,10673.56,8.438,92039.75
1563494400.0,2019-07-19,BTCUSD,10700,10752.96,10201,10661.99,3.834,39610.04
1563408000.0,2019-07-18,BTCUSD,9991.75,10700,9385.07,10700,4.347,42280.32
1563321600.0,2019-07-17,BTCUSD,9500,9991.75,9150,9991.75,7.106,67871.3
1563235200.0,2019-07-16,BTCUSD,11000,11000.85,9500,9500,9.162,93531.64
1563148800.0,2019-07-15,BTCUSD,10226.06,11000,9870,11000,8.855,92760.94
1563062400.0,2019-07-14,BTCUSD,11450.45,11450.45,10226.06,10226.06,23.52,248546.07
1562976000.0,2019-07-13,BTCUSD,11795,11795,10835,11450.45,12.95,146365.97
1562889600.0,2019-07-12,BTCUSD,11292.4,11899,11221.04,11795,11.17,130005.1
1562803200.0,2019-07-11,BTCUSD,12101.83,12101.83,1150,11292.4,19.43,209842.14
1562716800.0,2019-07-10,BTCUSD,12579.11,13150,11501.01,12101.83,14.23,181483.39
1562630400.0,2019-07-09,BTCUSD,12286.19,12820,2,12579.11,78.15,386457.89
1562544000.0,2019-07-08,BTCUSD,11414.93,12372.81,11406.02,12286.19,67.2,801496.81
1562457600.0,2019-07-07,BTCUSD,11393.61,11602.68,11133,11414.93,7.396,84162.26
