https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume USDT,tradecount
1586304000000,2020-04-08,ADAUSDT,0.03528,0.03683,0.03522,0.03639,220316016.7,7979139.269671,26532
1586217600000,2020-04-07,ADAUSDT,0.03591,0.03695,0.0345,0.03525,338110789.5,12146896.558417,39897
1586131200000,2020-04-06,ADAUSDT,0.03191,0.03611,0.0319,0.03592,350807966.8,11951449.733767,46082
1586044800000,2020-04-05,ADAUSDT,0.03244,0.03256,0.03159,0.0319,103731278.3,3325293.376825,11726
1585958400000,2020-04-04,ADAUSDT,0.03231,0.03272,0.0317,0.03244,185229786.8,5954674.176896,20688
1585872000000,2020-04-03,ADAUSDT,0.03187,0.03272,0.03156,0.03231,212823616.2,6839650.61875,26643
1585785600000,2020-04-02,ADAUSDT,0.03097,0.03352,0.0307,0.03188,297957908.5,9492006.555364,44516
1585699200000,2020-04-01,ADAUSDT,0.03045,0.03097,0.02942,0.03097,245444045.6,7427083.53027,32456
1585612800000,2020-03-31,ADAUSDT,0.02965,0.03067,0.0295,0.03045,166957955.0,5026845.514167,23604
1585526400000,2020-03-30,ADAUSDT,0.02808,0.03044,0.02801,0.02965,224863601.5,6615830.221865,31069
1585440000000,2020-03-29,ADAUSDT,0.02979,0.02999,0.02803,0.02806,189145475.1,5488503.940459,20832
1585353600000,2020-03-28,ADAUSDT,0.02882,0.02998,0.0278,0.02975,289141133.0,8311103.795673,32561
1585267200000,2020-03-27,ADAUSDT,0.03085,0.03143,0.02828,0.02882,255624968.4,7730323.724424,31628
1585180800000,2020-03-26,ADAUSDT,0.02947,0.03102,0.02923,0.03086,211454985.4,6298686.579007,24355
1585094400000,2020-03-25,ADAUSDT,0.03025,0.03043,0.02872,0.02945,251249333.7,7426715.754034,28676
1585008000000,2020-03-24,ADAUSDT,0.02923,0.03041,0.02874,0.03023,283748059.1,8398926.179338,33999
1584921600000,2020-03-23,ADAUSDT,0.02704,0.02993,0.0266,0.02925,352778439.1,9916694.590203,35858
1584835200000,2020-03-22,ADAUSDT,0.02945,0.03044,0.02679,0.02703,320971901.9,9088075.09007,35862
1584748800000,2020-03-21,ADAUSDT,0.02945,0.03067,0.0279,0.02948,373674370.3,10935774.510591,51138
1584662400000,2020-03-20,ADAUSDT,0.03029,0.03396,0.02659,0.02946,685475524.7,21015746.214194,92102
1584576000000,2020-03-19,ADAUSDT,0.02608,0.03198,0.0258,0.0303,509780641.3,14831629.732842,70097
1584489600000,2020-03-18,ADAUSDT,0.02573,0.02653,0.02428,0.02607,302852175.1,7690055.837733,43733
1584403200000,2020-03-17,ADAUSDT,0.02424,0.0265,0.02386,0.02575,389737125.2,9993317.414314,47984
1584316800000,2020-03-16,ADAUSDT,0.02692,0.02697,0.02156,0.02423,695930389.6,16471734.670284,92731
1584230400000,2020-03-15,ADAUSDT,0.02577,0.02904,0.02546,0.02693,364886224.3,9812612.215136,58042
1584144000000,2020-03-14,ADAUSDT,0.02844,0.0289,0.02529,0.02582,381841598.4,10399176.168961,65449
1584057600000,2020-03-13,ADAUSDT,0.02332,0.02938,0.01765,0.02843,1313130187.5,32564268.907937,206325
1583971200000,2020-03-12,ADAUSDT,0.0397,0.03983,0.02191,0.02329,1182129732.4,35875352.663099,159376
1583884800000,2020-03-11,ADAUSDT,0.04145,0.04182,0.03729,0.03969,370400639.3,14709966.917061,57899
1583798400000,2020-03-10,ADAUSDT,0.04151,0.04299,0.04032,0.04146,362267320.9,15077818.51347,58864
1583712000000,2020-03-09,ADAUSDT,0.04291,0.044,0.03895,0.04156,453024388.7,18709239.131214,55729
1583625600000,2020-03-08,ADAUSDT,0.04876,0.04876,0.04232,0.04291,338062171.8,15301619.011951,46839
1583539200000,2020-03-07,ADAUSDT,0.05171,0.05186,0.04815,0.04879,159048525.4,7973700.038051,23325
1583452800000,2020-03-06,ADAUSDT,0.05096,0.05174,0.04982,0.05174,166677789.3,8490193.879613,24604
1583366400000,2020-03-05,ADAUSDT,0.04898,0.05229,0.04898,0.05096,239400269.0,12171168.728836,36923
1583280000000,2020-03-04,ADAUSDT,0.04868,0.05034,0.04789,0.04898,212432446.7,10428839.189611,35593
1583193600000,2020-03-03,ADAUSDT,0.04922,0.04941,0.04743,0.04866,210562458.0,10192952.49581,33235
1583107200000,2020-03-02,ADAUSDT,0.04559,0.0498,0.04544,0.04923,245027392.9,11777630.002993,38165
1583020800000,2020-03-01,ADAUSDT,0.04706,0.04831,0.04506,0.04561,289344971.6,13565023.197618,44382
1582934400000,2020-02-29,ADAUSDT,0.04888,0.05,0.04707,0.0471,219715834.0,10642678.481037,34620
1582848000000,2020-02-28,ADAUSDT,0.04985,0.05134,0.0465,0.04885,341622382.6,16606191.459794,62428
1582761600000,2020-02-27,ADAUSDT,0.04915,0.05217,0.0462,0.04986,396151349.9,19745310.437699,95653
1582675200000,2020-02-26,ADAUSDT,0.05603,0.05667,0.04654,0.04915,628740635.6,31817935.296474,113454
1582588800000,2020-02-25,ADAUSDT,0.05906,0.05916,0.05585,0.05603,252035011.9,14445292.640368,54979
1582502400000,2020-02-24,ADAUSDT,0.06143,0.0618,0.05729,0.05906,239584286.3,14228848.9028,48380
1582416000000,2020-02-23,ADAUSDT,0.05819,0.062,0.0581,0.06145,182144312.0,11030229.055053,37120
1582329600000,2020-02-22,ADAUSDT,0.05856,0.05909,0.05696,0.05825,137773571.5,7990798.277039,37290
1582243200000,2020-02-21,ADAUSDT,0.05817,0.06,0.05738,0.05853,207696100.5,12224694.814872,48104
1582156800000,2020-02-20,ADAUSDT,0.05731,0.05894,0.05515,0.05815,307618869.9,17588519.382128,74601
1582070400000,2020-02-19,ADAUSDT,0.06279,0.063,0.05652,0.05737,243037174.1,14743331.576839,60638
1581984000000,2020-02-18,ADAUSDT,0.0602,0.06373,0.05771,0.06274,397628983.7,24231134.122955,81097
1581897600000,2020-02-17,ADAUSDT,0.06145,0.0627,0.05572,0.06019,444539698.1,26030330.024254,83682
1581811200000,2020-02-16,ADAUSDT,0.06423,0.06713,0.05669,0.06146,475885586.6,29377234.991984,93485
1581724800000,2020-02-15,ADAUSDT,0.07071,0.07136,0.06234,0.06426,397183062.7,26603503.985139,77854
1581638400000,2020-02-14,ADAUSDT,0.06868,0.07127,0.06712,0.07074,299318987.9,20764043.044224,53746
1581552000000,2020-02-13,ADAUSDT,0.0682,0.07231,0.06481,0.06867,517671388.6,35865002.865761,85333
1581465600000,2020-02-12,ADAUSDT,0.06339,0.07034,0.06336,0.06817,457749344.8,30446638.417037,80015
1581379200000,2020-02-11,ADAUSDT,0.06027,0.0635,0.0589,0.06335,272124502.2,16586435.963988,47166
1581292800000,2020-02-10,ADAUSDT,0.06188,0.0621,0.0584,0.06029,261446204.6,15673951.064345,48474
1581206400000,2020-02-09,ADAUSDT,0.06001,0.0624,0.05997,0.06188,200981732.1,12324462.48734,34027
1581120000000,2020-02-08,ADAUSDT,0.05987,0.06135,0.05703,0.06002,244212016.2,14592880.383074,43573
1581033600000,2020-02-07,ADAUSDT,0.06011,0.06279,0.0594,0.05987,291231933.0,17757519.095007,53407
1580947200000,2020-02-06,ADAUSDT,0.05931,0.06088,0.05795,0.06008,349428025.2,20911419.201638,59350
1580860800000,2020-02-05,ADAUSDT,0.05601,0.06019,0.05561,0.05933,340602221.6,19881527.413898,57965
1580774400000,2020-02-04,ADAUSDT,0.05698,0.05788,0.05395,0.05601,290866580.7,16217774.951913,46830
1580688000000,2020-02-03,ADAUSDT,0.05572,0.05785,0.05528,0.05696,293324470.9,16619591.149678,52092
1580601600000,2020-02-02,ADAUSDT,0.05608,0.0587,0.05489,0.0557,534062511.4,30556219.739129,91900
1580515200000,2020-02-01,ADAUSDT,0.0539,0.05723,0.05312,0.0561,316991127.7,17473737.385021,72967
1580428800000,2020-01-31,ADAUSDT,0.05614,0.0568,0.05215,0.0539,433767507.0,23492961.380158,90248
1580342400000,2020-01-30,ADAUSDT,0.0533,0.0573,0.05218,0.05614,440823391.8,24072401.252572,59967
1580256000000,2020-01-29,ADAUSDT,0.05291,0.05771,0.0526,0.05329,549284133.2,30490354.530824,66634
1580169600000,2020-01-28,ADAUSDT,0.048,0.05471,0.04749,0.0529,720874424.0,36978142.345989,88392
1580083200000,2020-01-27,ADAUSDT,0.04479,0.04903,0.044,0.04796,301036037.1,14005846.229203,45349
1579996800000,2020-01-26,ADAUSDT,0.04314,0.04478,0.04287,0.04477,146166010.5,6411965.07839,28010
1579910400000,2020-01-25,ADAUSDT,0.04493,0.04525,0.04289,0.04314,121509453.8,5311562.854639,17999
1579824000000,2020-01-24,ADAUSDT,0.04319,0.04539,0.04135,0.04495,208401165.6,9061066.571712,27244
1579737600000,2020-01-23,ADAUSDT,0.04575,0.0459,0.0421,0.04318,196962912.5,8600495.133524,27934
1579651200000,2020-01-22,ADAUSDT,0.04604,0.04655,0.0452,0.04575,130329910.9,5972832.68638,21195
1579564800000,2020-01-21,ADAUSDT,0.04379,0.04684,0.04345,0.04602,276447719.3,12602754.134393,33801
1579478400000,2020-01-20,ADAUSDT,0.042,0.04435,0.04197,0.04378,168161777.9,7241777.814405,21051
1579392000000,2020-01-19,ADAUSDT,0.04489,0.046,0.04129,0.042,255673670.8,11009321.845219,29181
1579305600000,2020-01-18,ADAUSDT,0.04488,0.04583,0.04311,0.04489,235080675.3,10506985.298487,31621
1579219200000,2020-01-17,ADAUSDT,0.04169,0.04595,0.04114,0.0449,352746229.4,15419956.497292,49435
1579132800000,2020-01-16,ADAUSDT,0.04277,0.0433,0.04017,0.04168,167386728.8,6885960.640656,24738
1579046400000,2020-01-15,ADAUSDT,0.04161,0.04324,0.04001,0.04275,317415252.7,13254733.778384,39538
1578960000000,2020-01-14,ADAUSDT,0.03682,0.04277,0.03681,0.04161,436406174.4,17250874.375088,60102
1578873600000,2020-01-13,ADAUSDT,0.03788,0.03795,0.0367,0.03682,48213285.1,1787473.382719,8846
1578787200000,2020-01-12,ADAUSDT,0.03673,0.03792,0.03653,0.03792,74412951.5,2768369.246181,12078
1578700800000,2020-01-11,ADAUSDT,0.03693,0.0378,0.03641,0.03678,82682827.3,3065177.599264,13389
1578614400000,2020-01-10,ADAUSDT,0.03616,0.03709,0.03468,0.03693,160265699.1,5771595.172103,20539
1578528000000,2020-01-09,ADAUSDT,0.0363,0.03637,0.03548,0.03616,86372611.3,3104192.864347,12305
1578441600000,2020-01-08,ADAUSDT,0.03696,0.03875,0.0358,0.03631,228408557.2,8558095.111536,28477
1578355200000,2020-01-07,ADAUSDT,0.03732,0.03808,0.03638,0.037,210380672.5,7824340.078516,24529
1578268800000,2020-01-06,ADAUSDT,0.03461,0.03736,0.03439,0.03732,131688800.5,4738039.458473,16460
1578182400000,2020-01-05,ADAUSDT,0.03436,0.03527,0.03419,0.0346,71815282.1,2493890.080589,10424
1578096000000,2020-01-04,ADAUSDT,0.03417,0.0345,0.03375,0.03434,55528746.4,1892275.959724,7992
1578009600000,2020-01-03,ADAUSDT,0.03269,0.03446,0.03236,0.03417,102581046.7,3470143.171544,15068
1577923200000,2020-01-02,ADAUSDT,0.03345,0.03348,0.03218,0.03269,42826456.1,1406391.011711,7453
1577836800000,2020-01-01,ADAUSDT,0.03285,0.0338,0.0327,0.03348,29827408.5,995544.370196,6116
1577750400000,2019-12-31,ADAUSDT,0.03343,0.03382,0.03279,0.03285,45408660.4,1509813.57244,6894
1577664000000,2019-12-30,ADAUSDT,0.03412,0.0344,0.03315,0.03344,52316728.5,1766369.759129,6743
1577577600000,2019-12-29,ADAUSDT,0.03365,0.03467,0.03331,0.03412,55063022.6,1870899.667666,6808
1577491200000,2019-12-28,ADAUSDT,0.03293,0.03419,0.03283,0.03365,73098549.1,2456093.134439,8417
1577404800000,2019-12-27,ADAUSDT,0.03415,0.0344,0.03153,0.0329,167023255.3,5499237.339843,16921
1577318400000,2019-12-26,ADAUSDT,0.03337,0.03495,0.03333,0.03416,78416164.4,2669877.828999,9264
1577232000000,2019-12-25,ADAUSDT,0.03385,0.03406,0.03288,0.03334,46135840.7,1546185.225886,6065
1577145600000,2019-12-24,ADAUSDT,0.03306,0.03461,0.03282,0.03388,116934788.9,3955723.31284,10444
1577059200000,2019-12-23,ADAUSDT,0.03438,0.03462,0.03287,0.03312,101551485.4,3440121.613321,9844
