https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1627862400,2021-08-02,DAI/USD,0.9985,0.9986,0.9985,0.9986,1036.592292,1035.1410627912
1627776000,2021-08-01,DAI/USD,1.0003,1.0003,0.9981,0.9982,21359.988116,21321.5401373912
1627689600,2021-07-31,DAI/USD,1.0002,1.0008,1.0002,1.0003,4661.027817,4662.4261253450995
1627603200,2021-07-30,DAI/USD,0.9998,1.0001,0.9998,1.0001,983.134318,983.2326314318
1627430400,2021-07-28,DAI/USD,0.9998,0.9998,0.9998,0.9998,14.588541,14.5856232918
1627344000,2021-07-27,DAI/USD,0.9991,1.0001,0.9991,1.0001,4843.101055,4843.5853651055
1627257600,2021-07-26,DAI/USD,1.0039,1.0039,0.9977,0.9991,36642.18172,36609.203756452
1627171200,2021-07-25,DAI/USD,1.0041,1.0043,1.0036,1.0036,3766.105668,3779.6636484048004
1627084800,2021-07-24,DAI/USD,1.0038,1.0046,1.0036,1.0041,4062.637697,4079.2945115577
1626825600,2021-07-21,DAI/USD,1.0037,1.0038,1.0035,1.0036,2524.629062,2533.7177266232
1626739200,2021-07-20,DAI/USD,1.0038,1.0038,1.0037,1.0037,199.0,199.7363
1626652800,2021-07-19,DAI/USD,1.0039,1.0039,1.0038,1.0038,794.559579,797.5789054002
1626480000,2021-07-17,DAI/USD,1.0042,1.0042,1.0039,1.0039,36.687504,36.8305852656
1626393600,2021-07-16,DAI/USD,1.0041,1.0042,1.004,1.004,1213.420929,1218.2746127159999
1626307200,2021-07-15,DAI/USD,1.0044,1.0045,1.0042,1.0042,1561.298159,1567.8556112678
1626220800,2021-07-14,DAI/USD,1.004,1.0049,1.004,1.0044,5684.451393,5709.4629791292
1626134400,2021-07-13,DAI/USD,1.0029,1.0041,1.0029,1.0041,7008.955263,7037.6919795783
1625875200,2021-07-10,DAI/USD,1.0023,1.0027,1.0023,1.0026,2993.782632,3001.5664668431996
1625702400,2021-07-08,DAI/USD,1.0015,1.0021,1.0015,1.002,3824.401183,3832.049985366
1625616000,2021-07-07,DAI/USD,1.0016,1.0018,1.0015,1.0015,647.292383,648.2633215745
1625529600,2021-07-06,DAI/USD,1.0016,1.0016,1.0016,1.0016,213.5685,213.9102096
1625443200,2021-07-05,DAI/USD,1.0016,1.0019,1.0016,1.0019,121.157914,121.3881140366
1625356800,2021-07-04,DAI/USD,1.0015,1.0018,1.0015,1.0016,606.07209,607.0418053440001
1625184000,2021-07-02,DAI/USD,1.0017,1.0017,1.0015,1.0015,725.0,726.0875000000001
1625097600,2021-07-01,DAI/USD,1.0017,1.0017,1.0017,1.0017,27.260661,27.3070041237
1625011200,2021-06-30,DAI/USD,1.0021,1.0021,1.0018,1.0018,2230.150989,2234.1652607802002
1624924800,2021-06-29,DAI/USD,1.0023,1.0026,1.0022,1.0022,1154.941538,1157.4824093836
1624838400,2021-06-28,DAI/USD,1.0028,1.0035,1.0023,1.0023,7500.211203,7517.4616887669
1624665600,2021-06-26,DAI/USD,1.0018,1.0027,1.0018,1.0027,5606.082522,5621.2189448093995
1624579200,2021-06-25,DAI/USD,1.0008,1.0587,1.0008,1.0019,6490.169335,6502.5006567365
1624492800,2021-06-24,DAI/USD,1.0022,1.0029,1.0005,1.0005,16937.224528,16945.693140263997
1624406400,2021-06-23,DAI/USD,1.0051,1.0051,1.0018,1.0018,15837.119483,15865.626298069401
1624320000,2021-06-22,DAI/USD,1.0025,1.0058,1.0025,1.0054,28266.337458,28418.975680273204
1624233600,2021-06-21,DAI/USD,1.0023,1.0031,1.0022,1.0022,3653.795812,3661.8341627863997
1624147200,2021-06-20,DAI/USD,1.0023,1.0023,1.0015,1.0015,1943.440087,1946.3552471305
1624060800,2021-06-19,DAI/USD,1.0021,1.0025,1.0021,1.0025,1401.0,1404.5024999999998
1623888000,2021-06-17,DAI/USD,1.0019,1.002,1.0013,1.002,1350.996899,1353.698892798
1623801600,2021-06-16,DAI/USD,1.0014,1.0023,1.0014,1.0019,6816.155916,6829.1066122404
1623715200,2021-06-15,DAI/USD,1.0018,1.0018,1.0011,1.0011,3734.434115,3738.5419925265005
1623628800,2021-06-14,DAI/USD,1.0034,1.0034,1.0019,1.0019,7693.146755,7707.7637338345
1623542400,2021-06-13,DAI/USD,1.0031,1.0036,1.0031,1.0034,3442.986788,3454.6929430792
1623456000,2021-06-12,DAI/USD,1.0031,1.0043,1.0031,1.0031,6036.417051,6055.129943858101
1623369600,2021-06-11,DAI/USD,1.0031,1.0031,1.0031,1.0031,58.0,58.17980000000001
1623283200,2021-06-10,DAI/USD,1.0037,1.0037,1.0027,1.0031,2686.164928,2694.4920392768004
1623196800,2021-06-09,DAI/USD,1.004,1.0042,1.0037,1.0037,1907.133113,1914.1895055181
1623110400,2021-06-08,DAI/USD,1.0007,1.0047,1.0005,1.0042,29111.521728,29233.7901192576
1623024000,2021-06-07,DAI/USD,1.0007,1.0014,1.0005,1.0014,1543.717624,1545.8788286736
1622764800,2021-06-04,DAI/USD,1.0005,1.0005,1.0005,1.0005,105.733321,105.7861876605
1622678400,2021-06-03,DAI/USD,1.0011,1.0011,1.0004,1.0005,3036.406526,3037.9247292630002
1622592000,2021-06-02,DAI/USD,1.0022,1.0023,1.001,1.0014,6533.59853,6542.745567942001
1622505600,2021-06-01,DAI/USD,1.0029,1.0029,1.0022,1.0022,2563.343082,2568.9824367804
1622419200,2021-05-31,DAI/USD,1.0021,1.0028,1.0021,1.0028,3048.405967,3056.9415037076
1622332800,2021-05-30,DAI/USD,1.0075,1.0075,1.0012,1.0024,35802.225797,35888.1511389128
1622246400,2021-05-29,DAI/USD,1.0019,1.0093,1.0016,1.0075,47966.138065,48325.8841004875
1622160000,2021-05-28,DAI/USD,1.002,1.002,1.0018,1.0018,1089.361278,1091.3221283004002
1622073600,2021-05-27,DAI/USD,1.0017,1.002,1.0015,1.0017,4441.321653,4448.8718998101
1621987200,2021-05-26,DAI/USD,1.0012,1.002,1.0012,1.0016,4501.942682,4509.1457902912
1621900800,2021-05-25,DAI/USD,1.0012,1.0012,1.0009,1.0012,1463.208378,1464.9642280536002
1621814400,2021-05-24,DAI/USD,1.0012,1.002,1.001,1.0012,5694.544854,5701.378307824801
1621728000,2021-05-23,DAI/USD,1.0029,1.0085,1.0019,1.0019,67627.16217,67755.653778123
1621641600,2021-05-22,DAI/USD,1.0028,1.0028,1.0026,1.0026,818.624631,820.7530550406
1621555200,2021-05-21,DAI/USD,1.0028,1.0035,1.0027,1.0028,6546.991575,6565.32315141
1621468800,2021-05-20,DAI/USD,1.0022,1.0027,1.0021,1.0026,5584.850072,5599.3706821872
1621382400,2021-05-19,DAI/USD,1.001,1.0026,1.0007,1.0024,11455.626775,11483.12027926
1621296000,2021-05-18,DAI/USD,1.0009,1.001,1.0007,1.0007,477.2053,477.53934370999997
1621209600,2021-05-17,DAI/USD,1.0012,1.002,1.0002,1.0009,15422.429618,15436.309804656199
1621123200,2021-05-16,DAI/USD,1.0054,1.0054,1.0,1.001,36301.441331,36337.742772330996
