https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USD
1686700800000,2023-06-14 00:00:00,UNI/USD,4.2828,4.6412,4.2537,4.4101,7219.116798,31837.0269908598
1686614400000,2023-06-13 00:00:00,UNI/USD,4.3071,4.4989,4.2152,4.2828,5358.007443,22947.274276880402
1686528000000,2023-06-12 00:00:00,UNI/USD,4.0524,4.3076,3.9585,4.3071,10005.082062,43092.8889492402
1686441600000,2023-06-11 00:00:00,UNI/USD,4.0716,4.1084,3.9862,4.0524,7314.55838,29641.516379112
1686355200000,2023-06-10 00:00:00,UNI/USD,4.5868,4.591,3.6594,4.0716,18766.189394,76408.41673661041
1686268800000,2023-06-09 00:00:00,UNI/USD,4.6295,4.6692,4.538,4.5868,4595.986156,21080.8693003408
1686182400000,2023-06-08 00:00:00,UNI/USD,4.5488,4.6754,4.5194,4.6295,2430.983629,11254.2387104555
1686096000000,2023-06-07 00:00:00,UNI/USD,4.7776,4.794,4.5,4.5488,7282.398403,33126.1738555664
1686009600000,2023-06-06 00:00:00,UNI/USD,4.7358,4.8409,4.6779,4.7776,2458.285862,11744.7065342912
1685923200000,2023-06-05 00:00:00,UNI/USD,5.0092,5.0135,4.5542,4.7358,3818.975302,18085.9032352116
1685836800000,2023-06-04 00:00:00,UNI/USD,5.083,5.134,4.9946,5.0092,530.865523,2659.2115778116004
1685750400000,2023-06-03 00:00:00,UNI/USD,5.0712,5.107,5.0436,5.083,1864.343829,9476.459682807
1685664000000,2023-06-02 00:00:00,UNI/USD,4.9845,5.0958,4.9523,5.0712,3055.524852,15495.1776294624
1685577600000,2023-06-01 00:00:00,UNI/USD,5.0187,5.0533,4.9731,4.9845,1330.55572,6632.15498634
1685491200000,2023-05-31 00:00:00,UNI/USD,5.1332,5.1589,4.99,5.0187,2247.165546,11277.8497257102
1685404800000,2023-05-30 00:00:00,UNI/USD,5.1081,5.2032,5.0921,5.1332,2614.208153,13419.253290979601
1685318400000,2023-05-29 00:00:00,UNI/USD,5.1494,5.1675,5.0847,5.1081,3681.286678,18804.3804798918
1685232000000,2023-05-28 00:00:00,UNI/USD,5.0409,5.1691,5.0288,5.1494,3415.435347,17587.4427758418
1685145600000,2023-05-27 00:00:00,UNI/USD,4.9757,5.0419,4.9592,5.0409,3131.311438,15784.6278278142
