https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1643587200,2022-01-31,AAVE/USD,147.25,157.46,142.41,157.46,11.058277,1741.2362964200001
1643500800,2022-01-30,AAVE/USD,153.0,154.85,148.11,148.11,23.062467,3415.7819873700005
1643414400,2022-01-29,AAVE/USD,149.79,157.01,149.79,155.67,24.578223,3826.0919744099997
1643328000,2022-01-28,AAVE/USD,148.11,148.11,140.59,148.11,19.161925,2838.07271175
1643241600,2022-01-27,AAVE/USD,147.84,148.68,138.35,139.44,26.022045,3628.5139547999997
1643155200,2022-01-26,AAVE/USD,150.98,162.05,145.35,145.35,38.553173,5603.70369555
1643068800,2022-01-25,AAVE/USD,151.41,155.96,147.06,151.27,21.361622,3231.3725599400004
1642982400,2022-01-24,AAVE/USD,154.73,154.73,131.95,152.58,171.802161,26213.573725380003
1642896000,2022-01-23,AAVE/USD,148.12,161.82,147.33,157.6,71.622617,11287.724439200001
1642809600,2022-01-22,AAVE/USD,173.45,173.45,136.93,148.63,102.009191,15161.626058329999
1642723200,2022-01-21,AAVE/USD,198.86,200.46,166.24,167.15,723.279221,120896.12179015
1642636800,2022-01-20,AAVE/USD,210.91,220.84,198.42,198.78,473.129105,94048.6034919
1642550400,2022-01-19,AAVE/USD,232.79,236.38,210.87,210.87,612.95693,129254.22782910001
1642464000,2022-01-18,AAVE/USD,227.19,239.77,223.83,232.89,1141.49474,265842.7099986
1642377600,2022-01-17,AAVE/USD,241.99,243.62,222.23,227.09,653.69324,148447.1978716
1642291200,2022-01-16,AAVE/USD,239.15,244.76,230.99,241.94,505.692723,122347.29740262
1642204800,2022-01-15,AAVE/USD,224.33,242.76,223.1,239.23,492.009002,117703.31354845999
1642118400,2022-01-14,AAVE/USD,209.36,226.38,205.53,224.35,717.705276,161017.1786706
1642032000,2022-01-13,AAVE/USD,218.8,221.63,208.2,209.31,639.988574,133956.00842394
1641945600,2022-01-12,AAVE/USD,213.75,222.21,211.55,218.84,427.600026,93575.98968984
1641859200,2022-01-11,AAVE/USD,200.11,216.53,197.74,213.74,688.914132,147248.50657368
1641772800,2022-01-10,AAVE/USD,210.23,213.39,189.0,200.07,1207.35447,241555.4088129
1641686400,2022-01-09,AAVE/USD,211.95,218.77,208.72,210.27,768.364447,161563.99227069
1641600000,2022-01-08,AAVE/USD,211.51,230.47,201.54,211.79,1418.565653,300438.01964887
1641513600,2022-01-07,AAVE/USD,221.61,221.66,200.54,211.37,1691.480577,357528.24956049
1641427200,2022-01-06,AAVE/USD,230.63,232.37,216.82,221.6,1100.781586,243933.1994576
1641340800,2022-01-05,AAVE/USD,252.64,258.44,216.1,230.79,1293.307835,298482.51523965003
1641254400,2022-01-04,AAVE/USD,266.69,268.46,250.29,252.69,583.332459,147402.27906471
1641168000,2022-01-03,AAVE/USD,265.68,285.0,263.31,266.81,799.012318,213184.47656558003
1641081600,2022-01-02,AAVE/USD,265.72,267.96,253.83,265.86,380.944095,101277.7970967
1640995200,2022-01-01,AAVE/USD,254.39,265.55,251.33,265.55,383.872033,101937.21836315
1640908800,2021-12-31,AAVE/USD,263.45,274.0,250.78,254.52,766.472995,195082.7066874
1640822400,2021-12-30,AAVE/USD,235.96,264.81,231.92,263.44,757.766349,199625.96698055998
1640736000,2021-12-29,AAVE/USD,252.84,258.56,235.62,235.95,757.153255,178650.31051724998
1640649600,2021-12-28,AAVE/USD,276.95,295.65,252.95,252.95,1647.837909,416820.59908155
1640563200,2021-12-27,AAVE/USD,268.35,292.08,266.33,277.13,570.740941,158169.43697933
1640476800,2021-12-26,AAVE/USD,264.25,276.5,251.0,268.47,499.157667,134008.85885949002
1640390400,2021-12-25,AAVE/USD,269.24,278.92,258.26,264.31,847.8263,224088.969353
1640304000,2021-12-24,AAVE/USD,247.25,277.5,243.67,269.18,1149.177579,309335.62071522
1640217600,2021-12-23,AAVE/USD,206.31,247.61,204.61,247.09,1301.519389,321592.42582801
1640131200,2021-12-22,AAVE/USD,186.38,215.85,186.38,206.27,845.969308,174498.08916116
1640044800,2021-12-21,AAVE/USD,182.01,186.25,180.43,186.25,285.107835,53101.334268750004
1639958400,2021-12-20,AAVE/USD,183.81,186.32,170.88,180.87,237.211431,42904.43152497
1639872000,2021-12-19,AAVE/USD,193.29,193.37,183.38,183.84,403.026252,74092.34616768
1639785600,2021-12-18,AAVE/USD,187.18,201.8,183.78,193.26,1526.177971,294949.15467546
1639699200,2021-12-17,AAVE/USD,173.89,188.37,165.05,187.03,179.591721,33589.03957863
1639612800,2021-12-16,AAVE/USD,173.69,179.75,173.69,176.47,2.851544,503.21196968000004
1639526400,2021-12-15,AAVE/USD,170.01,173.58,160.08,173.58,50.682325,8797.4379735
1639440000,2021-12-14,AAVE/USD,165.49,168.2,163.38,168.2,30.721547,5167.3642054
1639353600,2021-12-13,AAVE/USD,173.37,174.63,159.83,163.97,125.312919,20547.559328429998
1639267200,2021-12-12,AAVE/USD,179.66,181.71,178.01,180.93,13.704467,2479.54921431
1639180800,2021-12-11,AAVE/USD,168.06,177.59,166.71,177.57,39.473254,7009.265712779999
1639094400,2021-12-10,AAVE/USD,178.88,178.88,170.0,173.01,81.105396,14032.04456196
1639008000,2021-12-09,AAVE/USD,203.07,203.34,177.96,178.0,660.523329,117573.152562
1638921600,2021-12-08,AAVE/USD,184.85,202.86,180.44,202.86,867.389612,175958.65669032003
1638835200,2021-12-07,AAVE/USD,184.89,195.52,182.45,187.64,91.262567,17124.508071879998
1638748800,2021-12-06,AAVE/USD,191.83,191.83,170.0,184.97,528.807374,97813.49996878
1638662400,2021-12-05,AAVE/USD,203.21,205.79,187.91,191.86,963.736092,184902.40661112
1638576000,2021-12-04,AAVE/USD,226.09,240.0,166.31,203.07,1182.845773,240200.49112311
1638489600,2021-12-03,AAVE/USD,244.95,245.84,219.02,226.25,551.361392,124745.51494000001
1638403200,2021-12-02,AAVE/USD,250.97,250.97,241.87,244.94,311.433834,76282.60329996
1638316800,2021-12-01,AAVE/USD,257.23,268.28,250.19,250.97,422.370161,106002.23930617
1638230400,2021-11-30,AAVE/USD,250.17,263.58,245.73,257.25,692.725958,178203.7526955
1638144000,2021-11-29,AAVE/USD,239.02,251.7,234.31,250.01,271.186093,67799.23511093
1638057600,2021-11-28,AAVE/USD,232.98,238.86,219.91,238.86,460.952303,110103.06709458
1637971200,2021-11-27,AAVE/USD,232.81,242.88,231.1,232.93,258.506006,60213.803977580006
1637884800,2021-11-26,AAVE/USD,263.02,263.31,226.66,232.65,1123.770287,261445.15727055003
1637798400,2021-11-25,AAVE/USD,254.3,263.8,253.08,263.01,348.972354,91783.21882554
1637712000,2021-11-24,AAVE/USD,269.88,271.36,252.11,254.41,381.005862,96931.70135142
1637625600,2021-11-23,AAVE/USD,263.74,276.66,262.23,269.7,463.367753,124970.28298409999
1637539200,2021-11-22,AAVE/USD,266.93,268.33,257.36,263.57,485.477408,127957.28042656
1637452800,2021-11-21,AAVE/USD,274.08,274.08,265.25,266.99,240.47238,64203.7207362
1637366400,2021-11-20,AAVE/USD,279.04,280.43,268.32,274.26,199.411335,54690.5527371
1637280000,2021-11-19,AAVE/USD,262.64,280.04,258.63,278.85,349.094228,97344.9254778
1637193600,2021-11-18,AAVE/USD,284.03,287.13,256.48,262.59,713.777527,187430.84081492998
1637107200,2021-11-17,AAVE/USD,278.92,286.91,268.64,284.04,666.459844,189301.25408976
1637020800,2021-11-16,AAVE/USD,302.19,302.19,265.6,279.04,924.91881,258089.34474240002
1636934400,2021-11-15,AAVE/USD,314.12,314.96,300.65,302.39,136.584852,41301.89339628
1636848000,2021-11-14,AAVE/USD,313.11,317.23,310.8,314.01,99.37455,31204.6024455
1636761600,2021-11-13,AAVE/USD,308.54,313.35,304.08,313.15,174.860304,54757.5041976
1636675200,2021-11-12,AAVE/USD,312.78,314.37,297.39,308.53,394.138879,121603.66833786998
1636588800,2021-11-11,AAVE/USD,311.94,319.27,308.01,312.74,278.797401,87191.09918874
1636502400,2021-11-10,AAVE/USD,337.13,344.66,296.72,311.95,1004.25877,313278.5233015
1636416000,2021-11-09,AAVE/USD,332.7,348.51,327.64,336.97,707.680311,238467.03439767
