https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1691798400000,2023-08-12 00:00:00,LINK/USDT,7.4898,7.5373,7.3852,7.4425,14815428.483,1989483.83889,7420445.124,996456.56317,210054,7.4469
1691712000000,2023-08-11 00:00:00,LINK/USDT,7.6177,7.6439,7.404,7.4906,15071302.121,2002520.19119,7543384.849,1002309.26326,213957,7.5266
1691625600000,2023-08-10 00:00:00,LINK/USDT,7.6776,7.742,7.5581,7.6181,14944062.016,1958656.83653,7468356.467,978829.1215,212883,7.6298
1691539200000,2023-08-09 00:00:00,LINK/USDT,7.4606,7.9155,7.3769,7.6781,14668257.591,1929007.29264,7314091.324,961915.82592,210642,7.6062
1691452800000,2023-08-08 00:00:00,LINK/USDT,7.3278,7.534,7.291,7.4563,15194438.813,2058435.09707,7622597.676,1032633.71821,217645,7.3817
1691366400000,2023-08-07 00:00:00,LINK/USDT,7.1014,7.3973,6.9623,7.3279,14001191.506,1953039.89363,7009200.918,977726.40655,185706,7.1694
1691280000000,2023-08-06 00:00:00,LINK/USDT,7.2286,7.2687,7.0777,7.102,12624980.443,1763480.91881,6270103.416,875819.82019,100022,7.1594
1691193600000,2023-08-05 00:00:00,LINK/USDT,7.1412,7.2456,7.099,7.2286,10363363.365,1441056.09285,5191987.216,721950.15083,99894,7.1916
1691107200000,2023-08-04 00:00:00,LINK/USDT,7.1242,7.2597,7.0179,7.1414,8161038.499,1141583.21973,4094029.045,572673.07542,101990,7.149
1691020800000,2023-08-03 00:00:00,LINK/USDT,7.3452,7.4075,7.0774,7.1264,16400320.375,2256169.03771,8241457.373,1133780.61431,115248,7.2698
1690934400000,2023-08-02 00:00:00,LINK/USDT,7.6306,7.7167,7.3304,7.3483,7608971.19,1008797.44423,3799271.778,503691.72603,104560,7.5442
1690848000000,2023-08-01 00:00:00,LINK/USDT,7.5487,7.6417,7.2561,7.6307,4047725.08,541171.06111,2039639.683,272686.52807,54740,7.48
1690761600000,2023-07-31 00:00:00,LINK/USDT,7.5524,7.7155,7.4455,7.5496,1735729.735,229465.59677,876415.262,115865.89168,30988,7.5645
1690675200000,2023-07-30 00:00:00,LINK/USDT,7.8423,7.8641,7.3614,7.5548,119234.794,15508.01602,65061.117,8478.41693,24029,7.6906
1690588800000,2023-07-29 00:00:00,LINK/USDT,7.7727,7.8948,7.724,7.8429,108464.133,13941.87449,55712.862,7160.33224,24142,7.7798
1690502400000,2023-07-28 00:00:00,LINK/USDT,7.9887,8.092,7.7729,7.7729,110118.756,13989.45242,56588.166,7189.96781,23414,7.872
1690416000000,2023-07-27 00:00:00,LINK/USDT,7.7381,8.1141,7.6885,7.989,110459.848,13868.78424,57483.816,7215.39371,23407,7.9652
1690329600000,2023-07-26 00:00:00,LINK/USDT,7.3944,7.8325,7.2802,7.7443,106416.613,14121.84951,52727.908,6997.19764,24345,7.5376
1690243200000,2023-07-25 00:00:00,LINK/USDT,7.5841,7.64,7.3428,7.3926,110926.091,14826.87644,54302.027,7257.4435,24386,7.4821
