https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ATOM
1657324800000,2022-07-09 00:00:00,ATOM/USD,9.930794,10.293768,9.700002,9.935882,7374.946615681037,742.25384477
1657238400000,2022-07-08 00:00:00,ATOM/USD,10.300837,10.8524,9.871,9.92786,13524.27271002271,1362.25457551
1657152000000,2022-07-07 00:00:00,ATOM/USD,9.906988,11.2,9.603193,10.314299,4484.633315839515,434.79768386
1657065600000,2022-07-06 00:00:00,ATOM/USD,9.851705,10.289511,9.68101,9.82569,3674.409894251928,373.95947707
1656979200000,2022-07-05 00:00:00,ATOM/USD,9.629418,10.230971,9.071381,9.837266,8130.685550189976,826.51882649
1656892800000,2022-07-04 00:00:00,ATOM/USD,8.92,9.88,8.68621,9.677861,6503.157943359412,671.96232136
1656806400000,2022-07-03 00:00:00,ATOM/USD,8.943188,9.1,8.595868,8.92,3334.9010456516,373.86783023
1656720000000,2022-07-02 00:00:00,ATOM/USD,9.122765,9.316714,8.560011,9.077157,4706.0564022330145,518.45047984
1656633600000,2022-07-01 00:00:00,ATOM/USD,8.430472,9.399999,7.901024,9.115523,5156.528020325615,565.68646915
1656547200000,2022-06-30 00:00:00,ATOM/USD,8.146398,8.56,7.737245,8.486942,3950.6556557095473,465.49813298
1656460800000,2022-06-29 00:00:00,ATOM/USD,8.155659,8.313214,7.700002,8.151639,2681.264958595381,328.92341756
1656374400000,2022-06-28 00:00:00,ATOM/USD,8.678572,8.693738,8.53095,8.589766,50.6796194,5.9
1656288000000,2022-06-27 00:00:00,ATOM/USD,8.882778,9.4,8.535066,8.535066,4184.156600370021,490.23131167
1656201600000,2022-06-26 00:00:00,ATOM/USD,9.503054,9.677448,8.85,8.859769,5409.643622246734,610.58517691
1656115200000,2022-06-25 00:00:00,ATOM/USD,9.097506,9.573546,8.803777,9.558418,6816.22327381584,713.11207292
1656028800000,2022-06-24 00:00:00,ATOM/USD,8.95,9.4,8.0,9.097924,9903.786241895315,1088.57649744
1655942400000,2022-06-23 00:00:00,ATOM/USD,7.745665,9.0,7.745662,8.909294,4055.6283011514784,455.21320782
1655856000000,2022-06-22 00:00:00,ATOM/USD,7.644464,8.46,7.29638,7.9503,1947.655988689557,244.97893019
1655769600000,2022-06-21 00:00:00,ATOM/USD,7.76,8.976372,7.282805,7.5408,4441.543422656496,589.00162087
1655683200000,2022-06-20 00:00:00,ATOM/USD,7.406175,7.736563,7.1757,7.532807,2858.1339588264295,379.42482249
1655596800000,2022-06-19 00:00:00,ATOM/USD,6.662121,7.48,6.492507,7.355208,4451.869511804375,605.26765685
1655510400000,2022-06-18 00:00:00,ATOM/USD,7.092488,7.218981,6.2,6.769222,6159.866973109685,909.98152714
1655424000000,2022-06-17 00:00:00,ATOM/USD,6.926956,7.57,6.926956,7.0305,1363.59259979388,193.95385816
1655337600000,2022-06-16 00:00:00,ATOM/USD,8.0,8.082185,6.850396,6.850396,2714.748232830588,396.29070098
1655251200000,2022-06-15 00:00:00,ATOM/USD,7.599741,7.973171,6.15,7.973171,5328.881763237239,668.35162111
1655164800000,2022-06-14 00:00:00,ATOM/USD,6.696165,7.6,6.632129,7.6,4353.861414364,572.87650189
1655078400000,2022-06-13 00:00:00,ATOM/USD,7.7,8.0822,6.448695,7.0153,10291.808228905025,1467.05176242
1654992000000,2022-06-12 00:00:00,ATOM/USD,8.1,8.389973,7.688428,7.688428,2205.971412360934,286.92099508
1654905600000,2022-06-11 00:00:00,ATOM/USD,8.9312,9.199999,8.0,8.229887,2907.239458172236,353.25387313
1654819200000,2022-06-10 00:00:00,ATOM/USD,9.2,9.9,8.7,8.75,8319.465821975,950.79609394
1654732800000,2022-06-09 00:00:00,ATOM/USD,9.473469,9.8,9.3,9.487001,927.1774239093909,97.73135092
1654646400000,2022-06-08 00:00:00,ATOM/USD,9.596301,9.899991,9.170001,9.3219,696.512926991112,74.71791448
1654560000000,2022-06-07 00:00:00,ATOM/USD,9.695218,10.119706,9.044,9.716154,5431.312960015474,558.99823737
1654473600000,2022-06-06 00:00:00,ATOM/USD,10.0,10.2185,9.755597,9.864344,1863.6696739439772,188.92991505
1654387200000,2022-06-05 00:00:00,ATOM/USD,9.657283,9.9,9.6264,9.879817,772.8220648436715,78.22230562
1654300800000,2022-06-04 00:00:00,ATOM/USD,9.7321,10.1,9.5,9.765228,843.7978666603082,86.40841429
1654214400000,2022-06-03 00:00:00,ATOM/USD,10.1294,11.6,9.464988,10.199988,3235.4221925864713,317.19862735
1654128000000,2022-06-02 00:00:00,ATOM/USD,9.6116,10.399834,9.6116,9.978671,1324.8578372103223,132.76896665
1654041600000,2022-06-01 00:00:00,ATOM/USD,10.567617,10.99888,9.500001,9.72762,4900.875872956338,503.81037427
1653955200000,2022-05-31 00:00:00,ATOM/USD,10.819943,11.17411,10.5,10.567617,1828.3009582968766,173.00976732
1653868800000,2022-05-30 00:00:00,ATOM/USD,10.1186,11.099024,10.1186,10.977429,1438.1641530330166,131.01101843
1653782400000,2022-05-29 00:00:00,ATOM/USD,9.790399,10.199059,9.7297,10.194399,749.1751660205563,73.48889974
1653696000000,2022-05-28 00:00:00,ATOM/USD,10.194203,10.307847,10.04,10.04,342.1359377856,34.07728464
1653609600000,2022-05-27 00:00:00,ATOM/USD,10.16023,11.999999,9.7506,10.1279,2027.442788996792,200.18392648
1653523200000,2022-05-26 00:00:00,ATOM/USD,11.816519,11.963178,10.391,10.57,7223.4983563694,683.39624942
1653436800000,2022-05-25 00:00:00,ATOM/USD,12.107742,12.1885,11.672602,11.884487,736.9612691531477,62.01035595
1653350400000,2022-05-24 00:00:00,ATOM/USD,12.437223,12.835187,11.3,11.998948,2345.8087810933603,195.50120403
1653264000000,2022-05-23 00:00:00,ATOM/USD,12.8,13.5,12.14,12.14,2440.6732427016004,201.04392444
1653177600000,2022-05-22 00:00:00,ATOM/USD,12.31698,13.3482,12.000201,12.65,2856.3368372659997,225.79737844
1653091200000,2022-05-21 00:00:00,ATOM/USD,12.2936,12.999997,12.0,12.0585,2490.7298231866653,206.55386849
1653004800000,2022-05-20 00:00:00,ATOM/USD,11.83037,13.78,11.83037,12.386952,5340.28062730069,431.12144354
1652918400000,2022-05-19 00:00:00,ATOM/USD,11.112,12.42,10.8976,11.69,1122.2571923661,96.00147069
1652832000000,2022-05-18 00:00:00,ATOM/USD,12.924598,12.924598,11.11101,11.11101,2396.6313040122222,215.69878022
1652745600000,2022-05-17 00:00:00,ATOM/USD,12.4548,15.0,12.05,12.4566,3872.07625033866,310.8453551
1652659200000,2022-05-16 00:00:00,ATOM/USD,13.656041,13.88,12.1399,12.1399,3581.0775609334974,294.98410703
1652572800000,2022-05-15 00:00:00,ATOM/USD,11.652182,13.549223,11.49877,13.294937,2936.2371720121278,220.85378607
1652486400000,2022-05-14 00:00:00,ATOM/USD,12.082348,12.449643,10.364,11.799511,6254.641743078005,530.07635173
1652400000000,2022-05-13 00:00:00,ATOM/USD,10.745499,15.244,10.153773,11.3042,9241.268349777367,817.50750604
1652313600000,2022-05-12 00:00:00,ATOM/USD,12.33248,12.399997,9.630064,10.771032,12069.598623545076,1120.56102178
