https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume OP,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1681948800000,2023-04-20 00:00:00,OP/USDT,2.5564,2.6735,2.11,2.4357,41339.4706,16184.9935,20329.8957,7950.0716,7529,2.5565
1681862400000,2023-04-19 00:00:00,OP/USDT,2.7102,2.7474,2.4901,2.5628,36573.8296,13807.1629,17731.105,6689.9751,7184,2.65
1681776000000,2023-04-18 00:00:00,OP/USDT,2.6084,2.9559,2.5768,2.7102,36036.4995,13441.3928,17855.2521,6660.2768,6869,2.6815
1681689600000,2023-04-17 00:00:00,OP/USDT,2.6855,2.7044,2.5595,2.6083,37016.3513,14066.44,20552.8783,7809.2354,7037,2.6317
1681603200000,2023-04-16 00:00:00,OP/USDT,2.6908,2.7186,2.6243,2.6812,40894.0028,15319.8124,20926.6332,7840.4897,7815,2.6694
1681516800000,2023-04-15 00:00:00,OP/USDT,2.6229,2.8204,2.5694,2.7004,38834.5921,14387.3553,20009.9411,7402.5133,7095,2.6999
1681430400000,2023-04-14 00:00:00,OP/USDT,2.4232,3.114,2.309,2.648,45911.1269,17456.8114,22782.8621,8634.759,7314,2.6368
1681344000000,2023-04-13 00:00:00,OP/USDT,2.2785,2.5564,2.2518,2.4232,37022.3556,15781.1856,16022.7579,6826.9852,7111,2.3479
1681257600000,2023-04-12 00:00:00,OP/USDT,2.2915,2.344,2.1353,2.2772,41642.992,18154.2081,20434.0273,8907.5678,7949,2.294
1681171200000,2023-04-11 00:00:00,OP/USDT,2.3683,2.9283,1.93,2.2937,45260.4664,19051.3074,20098.0646,8511.5855,7618,2.3819
1681084800000,2023-04-10 00:00:00,OP/USDT,2.2802,2.3975,2.2166,2.3682,39199.5227,17338.4272,19461.7647,8608.8236,7494,2.2611
1680998400000,2023-04-09 00:00:00,OP/USDT,2.2246,2.3237,2.182,2.2788,39339.0158,17547.4266,19754.8031,8813.4728,7899,2.2421
1680912000000,2023-04-08 00:00:00,OP/USDT,2.2826,2.3009,2.2154,2.2258,34608.5526,15323.2361,16679.4642,7386.248,6450,2.2588
1680825600000,2023-04-07 00:00:00,OP/USDT,2.3214,2.3547,2.1891,2.2825,39593.9643,17384.6972,19208.2116,8432.4748,7675,2.2779
1680739200000,2023-04-06 00:00:00,OP/USDT,2.2934,2.3845,2.1739,2.3213,42622.2281,18764.7415,20524.0003,9031.8664,8528,2.2719
1680652800000,2023-04-05 00:00:00,OP/USDT,2.2606,2.4138,2.2433,2.2933,50524.867,21523.2365,24738.7173,10537.5243,9032,2.3479
1680566400000,2023-04-04 00:00:00,OP/USDT,2.1577,2.3598,2.1302,2.3054,51534.9163,23028.6369,25658.2196,11477.684,10124,2.2386
1680480000000,2023-04-03 00:00:00,OP/USDT,2.2035,2.3691,2.0117,2.1703,61097.3008,27583.8026,30904.9339,13959.0581,11585,2.2161
1680393600000,2023-04-02 00:00:00,OP/USDT,2.2653,2.4005,1.9148,2.2079,44872.3969,19939.0874,22804.024,10124.3175,8683,2.2517
