https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1685491200000,2023-05-31 00:00:00,AVAX/USDT,14.465,14.483,14.024,14.126,239354.18,16927.673415,114525.3,8100.330203,1612,14.14
1685404800000,2023-05-30 00:00:00,AVAX/USDT,14.501,14.76,14.423,14.466,370444.48,25485.8261,185643.83,12774.437668,2114,14.535
1685318400000,2023-05-29 00:00:00,AVAX/USDT,14.929,14.975,14.417,14.491,318886.43,21634.923494,156128.27,10592.901838,1608,14.739
1685232000000,2023-05-28 00:00:00,AVAX/USDT,14.571,15.054,14.291,14.918,375643.71,25671.999047,191133.66,13061.755967,2061,14.633
1685145600000,2023-05-27 00:00:00,AVAX/USDT,14.342,14.61,14.283,14.571,259704.35,18047.494309,132970.74,9236.986016,1645,14.39
1685059200000,2023-05-26 00:00:00,AVAX/USDT,14.103,14.398,13.987,14.337,246503.41,17376.104713,124391.89,8770.310796,2829,14.187
1684972800000,2023-05-25 00:00:00,AVAX/USDT,14.144,14.257,13.825,14.101,234268.19,16596.093045,119911.79,8494.450812,2750,14.116
1684886400000,2023-05-24 00:00:00,AVAX/USDT,14.718,14.718,14.029,14.148,215410.92,15063.752561,103241.5,7219.293828,2530,14.302
1684800000000,2023-05-23 00:00:00,AVAX/USDT,14.686,14.95,14.611,14.716,231876.13,15727.797233,121309.92,8229.288093,2727,14.743
1684713600000,2023-05-22 00:00:00,AVAX/USDT,14.302,14.761,14.132,14.681,245861.14,16952.739055,122853.92,8468.14764,2948,14.504
1684627200000,2023-05-21 00:00:00,AVAX/USDT,14.612,14.672,14.196,14.302,310353.11,21421.739403,159603.26,11016.902619,3584,14.488
1684540800000,2023-05-20 00:00:00,AVAX/USDT,14.638,14.68,14.532,14.612,414605.72,28414.19608,217143.23,14880.876057,4536,14.591
1684454400000,2023-05-19 00:00:00,AVAX/USDT,14.662,14.81,14.564,14.655,384825.41,26226.812365,193419.51,13181.470079,4382,14.673
1684368000000,2023-05-18 00:00:00,AVAX/USDT,15.178,15.179,14.451,14.672,332913.57,22333.047649,161894.08,10861.626402,4083,14.909
1684281600000,2023-05-17 00:00:00,AVAX/USDT,14.911,15.286,14.63,15.151,369350.2,24742.010576,187015.73,12527.677122,4387,14.929
1684195200000,2023-05-16 00:00:00,AVAX/USDT,15.09,15.165,14.761,14.907,409191.28,27418.507139,205225.54,13752.643867,4872,14.924
1684108800000,2023-05-15 00:00:00,AVAX/USDT,15.029,15.358,14.823,15.094,397165.92,26096.330547,202398.59,13299.532833,4574,15.219
1684022400000,2023-05-14 00:00:00,AVAX/USDT,14.921,15.149,14.831,15.026,406025.77,27122.964517,213206.46,14243.647801,4606,14.97
1683936000000,2023-05-13 00:00:00,AVAX/USDT,15.201,15.203,14.906,14.923,276839.07,18423.341857,136413.12,9078.323075,3441,15.026
1683849600000,2023-05-12 00:00:00,AVAX/USDT,14.954,15.193,14.531,15.189,275183.72,18489.197554,138101.22,9279.760009,3464,14.884
1683763200000,2023-05-11 00:00:00,AVAX/USDT,15.52,15.521,14.8,14.959,327508.15,21585.075311,159732.4,10531.192317,4024,15.175
1683676800000,2023-05-10 00:00:00,AVAX/USDT,15.32,15.716,14.798,15.51,344157.31,22339.59727,169003.74,10975.844372,4097,15.407
1683590400000,2023-05-09 00:00:00,AVAX/USDT,15.393,15.578,15.232,15.322,321634.52,20928.056553,155043.41,10089.215079,4720,15.368
1683504000000,2023-05-08 00:00:00,AVAX/USDT,16.357,16.495,14.928,15.409,254032.95,16146.979866,126181.86,8017.229267,4675,15.738
1683417600000,2023-05-07 00:00:00,AVAX/USDT,16.581,16.73,16.334,16.407,223192.87,13447.668707,112772.7,6794.979354,4248,16.597
1683331200000,2023-05-06 00:00:00,AVAX/USDT,17.377,17.453,16.439,16.558,192938.67,11394.610103,95325.89,5629.618734,3830,16.937
1683244800000,2023-05-05 00:00:00,AVAX/USDT,16.92,17.41,16.838,17.375,232865.86,13611.515854,114981.5,6720.480153,4384,17.109
1683158400000,2023-05-04 00:00:00,AVAX/USDT,17.229,17.246,16.799,16.923,171513.81,10079.260381,85244.8,5010.03716,3632,17.017
1683072000000,2023-05-03 00:00:00,AVAX/USDT,16.84,17.372,16.407,17.21,195558.63,11658.005042,97733.01,5823.874559,3870,16.777
1682985600000,2023-05-02 00:00:00,AVAX/USDT,16.611,16.958,16.518,16.839,208593.33,12491.395388,101412.74,6074.114782,4145,16.7
1682899200000,2023-05-01 00:00:00,AVAX/USDT,17.098,17.214,16.523,16.653,172311.87,10191.896916,85115.98,5033.696953,3857,16.908
1682812800000,2023-04-30 00:00:00,AVAX/USDT,17.493,17.843,17.103,17.103,166471.11,9557.990511,83543.53,4797.205528,3090,17.418
1682726400000,2023-04-29 00:00:00,AVAX/USDT,17.537,17.718,17.376,17.491,135954.52,7742.87612,67515.03,3845.351959,2811,17.558
1682640000000,2023-04-28 00:00:00,AVAX/USDT,17.738,17.822,17.281,17.558,208824.65,11871.316388,106010.85,6025.136034,4092,17.591
1682553600000,2023-04-27 00:00:00,AVAX/USDT,17.187,17.942,17.133,17.73,208009.23,11855.916918,107412.68,6121.664088,4017,17.546
