https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ATOM,Volume USDT,tradecount
1619395200000,2021-04-26,ATOMUSDT,18.69,23.5,18.477,22.058,4310853.397,91346049.684806,210733
1619308800000,2021-04-25,ATOMUSDT,18.462,19.8,17.601,18.687,2283076.801,42824834.372699,99220
1619222400000,2021-04-24,ATOMUSDT,20.497,20.549,18.304,18.458,2545421.467,48918690.78496,121538
1619136000000,2021-04-23,ATOMUSDT,18.725,20.55,16.56,20.515,6581721.243,120679034.456524,303499
1619049600000,2021-04-22,ATOMUSDT,19.57,21.56,18.5,18.725,4796116.93,95920974.189951,222780
1618963200000,2021-04-21,ATOMUSDT,21.251,21.5,19.347,19.551,3958949.466,80915478.4821,193491
1618876800000,2021-04-20,ATOMUSDT,19.196,21.6,17.644,21.254,5530702.476,108172046.891998,264082
1618790400000,2021-04-19,ATOMUSDT,21.388,22.248,18.841,19.199,4797811.062,98704015.061138,228418
1618704000000,2021-04-18,ATOMUSDT,24.32,24.849,17.1,21.403,7560554.184,158817923.987615,374578
1618617600000,2021-04-17,ATOMUSDT,25.46,27.505,24.282,24.342,3883290.274,100796932.89973,218223
1618531200000,2021-04-16,ATOMUSDT,27.799,28.172,24.028,25.46,5006504.131,129330609.763622,240108
1618444800000,2021-04-15,ATOMUSDT,27.078,28.53,25.939,27.786,6595956.72,178739276.122427,340893
1618358400000,2021-04-14,ATOMUSDT,23.822,27.138,22.777,27.068,8374149.504,205765224.785726,392758
1618272000000,2021-04-13,ATOMUSDT,22.002,24.899,21.333,23.829,5066787.466,117690492.196598,248494
1618185600000,2021-04-12,ATOMUSDT,23.372,23.785,21.222,22.012,4561710.861,103167479.533057,212224
1618099200000,2021-04-11,ATOMUSDT,21.006,23.5,20.734,23.365,3149692.245,68577900.957849,147952
1618012800000,2021-04-10,ATOMUSDT,21.396,22.666,20.551,21.025,3770878.77,82166123.010463,165427
1617926400000,2021-04-09,ATOMUSDT,20.543,21.539,20.486,21.393,2358215.44,49614669.932162,108037
1617840000000,2021-04-08,ATOMUSDT,19.566,20.639,19.472,20.543,2374446.44,47887590.191303,95585
1617753600000,2021-04-07,ATOMUSDT,21.643,22.1,18.651,19.558,4977703.341,101196138.759419,215082
1617667200000,2021-04-06,ATOMUSDT,21.45,23.211,21.038,21.656,4716570.331,103712809.346214,212410
1617580800000,2021-04-05,ATOMUSDT,21.53,22.22,20.0,21.431,3326701.622,70641424.41858,144239
1617494400000,2021-04-04,ATOMUSDT,20.034,21.933,19.535,21.525,3141300.173,65299169.355941,121977
1617408000000,2021-04-03,ATOMUSDT,20.312,22.564,19.843,20.033,6902501.961,148125502.12646,236757
1617321600000,2021-04-02,ATOMUSDT,19.482,20.422,19.134,20.315,2149364.984,42513126.798634,89820
1617235200000,2021-04-01,ATOMUSDT,19.081,20.2,18.902,19.473,2557080.389,49444587.384235,92273
1617148800000,2021-03-31,ATOMUSDT,19.968,20.088,18.168,19.081,2780289.219,53137679.17694,104602
1617062400000,2021-03-30,ATOMUSDT,20.27,20.691,19.471,19.968,2133154.259,42747843.61303,80970
1616976000000,2021-03-29,ATOMUSDT,19.329,20.989,19.06,20.273,2862825.719,57403306.378996,111423
1616889600000,2021-03-28,ATOMUSDT,18.706,20.0,18.419,19.331,2040178.701,39226283.128244,83122
1616803200000,2021-03-27,ATOMUSDT,18.929,19.211,18.014,18.704,1428525.974,26649606.728655,58790
1616716800000,2021-03-26,ATOMUSDT,17.095,18.99,17.059,18.94,1948543.946,35312699.468436,72891
1616630400000,2021-03-25,ATOMUSDT,17.423,18.019,16.629,17.1,2646905.579,45863279.587922,85352
1616544000000,2021-03-24,ATOMUSDT,18.708,19.79,16.444,17.424,2856121.357,53186913.901142,102115
1616457600000,2021-03-23,ATOMUSDT,19.198,19.863,18.679,18.724,1844435.114,35582617.945745,70972
1616371200000,2021-03-22,ATOMUSDT,20.508,21.166,18.888,19.179,2450994.083,49450517.416862,99282
1616284800000,2021-03-21,ATOMUSDT,20.911,21.258,19.924,20.52,1997519.748,41228307.88763,78852
1616198400000,2021-03-20,ATOMUSDT,22.186,22.726,20.716,20.915,1897841.595,41908958.391238,80369
1616112000000,2021-03-19,ATOMUSDT,22.108,23.185,21.5,22.19,3678794.899,82514121.17615,124720
1616025600000,2021-03-18,ATOMUSDT,20.9,24.523,20.524,22.106,7231433.0,164452048.626074,270750
1615939200000,2021-03-17,ATOMUSDT,21.014,21.674,19.55,20.896,3501413.857,71996004.08692,135649
1615852800000,2021-03-16,ATOMUSDT,19.839,22.102,18.689,21.008,5013444.239,102831631.685578,186641
1615766400000,2021-03-15,ATOMUSDT,18.443,21.1,17.901,19.838,4941682.318,96570080.24252,174249
1615680000000,2021-03-14,ATOMUSDT,19.368,19.531,18.418,18.444,1618064.777,30642512.331349,60505
1615593600000,2021-03-13,ATOMUSDT,18.549,19.861,17.828,19.363,2273913.361,43394400.932416,84347
1615507200000,2021-03-12,ATOMUSDT,19.333,19.496,17.68,18.552,2278852.548,42477202.607045,82059
1615420800000,2021-03-11,ATOMUSDT,19.61,19.747,18.6,19.333,1886132.71,36338631.057107,70676
1615334400000,2021-03-10,ATOMUSDT,21.1,21.378,19.088,19.61,3124839.255,62698223.241364,114667
1615248000000,2021-03-09,ATOMUSDT,19.38,21.2,19.016,21.107,3501908.887,70492564.671947,125556
1615161600000,2021-03-08,ATOMUSDT,19.471,19.853,18.565,19.392,2126841.663,40672020.114751,71055
1615075200000,2021-03-07,ATOMUSDT,18.91,19.495,18.58,19.458,1704303.272,32565265.552856,60096
1614988800000,2021-03-06,ATOMUSDT,18.665,19.069,18.211,18.91,1581719.957,29663395.665724,53583
1614902400000,2021-03-05,ATOMUSDT,18.855,19.5,17.725,18.671,3100659.912,58003035.534071,104106
1614816000000,2021-03-04,ATOMUSDT,21.431,21.845,18.136,18.855,5225998.346,105259872.831138,176095
1614729600000,2021-03-03,ATOMUSDT,18.837,22.0,18.499,21.431,5083660.54,102356397.60457,164949
1614643200000,2021-03-02,ATOMUSDT,18.682,20.516,17.989,18.851,4702324.771,91423276.844278,147820
1614556800000,2021-03-01,ATOMUSDT,17.632,18.856,17.497,18.701,2760782.859,50423586.893705,90537
1614470400000,2021-02-28,ATOMUSDT,19.141,19.24,16.448,17.649,3437709.6,60495657.472383,117007
1614384000000,2021-02-27,ATOMUSDT,18.852,20.973,18.616,19.121,4394853.317,86552629.190245,142239
1614297600000,2021-02-26,ATOMUSDT,17.775,18.959,16.051,18.86,5283512.5,93016961.209426,144450
1614211200000,2021-02-25,ATOMUSDT,19.441,20.667,17.55,17.686,4192660.74,80218745.020315,124982
1614124800000,2021-02-24,ATOMUSDT,20.08,21.39,18.655,19.42,4706945.902,94510652.089303,154997
1614038400000,2021-02-23,ATOMUSDT,21.11,23.4,15.1,20.08,11510910.388,224609943.809345,333299
1613952000000,2021-02-22,ATOMUSDT,21.573,21.678,16.624,21.152,6198930.093,121984524.512878,208166
1613865600000,2021-02-21,ATOMUSDT,21.632,22.656,20.699,21.569,4717961.384,101619189.734136,150620
1613779200000,2021-02-20,ATOMUSDT,22.898,24.498,20.439,21.648,4723070.288,109944639.410782,186653
1613692800000,2021-02-19,ATOMUSDT,23.087,23.55,21.502,22.898,3335648.147,75323208.36878,135174
1613606400000,2021-02-18,ATOMUSDT,23.83,25.133,22.785,23.092,4452399.814,106301212.328066,170365
1613520000000,2021-02-17,ATOMUSDT,25.096,25.85,22.479,23.83,7249730.226,173617430.740705,245306
1613433600000,2021-02-16,ATOMUSDT,22.511,26.55,22.2,25.067,11617759.868,288268788.896698,383670
1613347200000,2021-02-15,ATOMUSDT,19.117,24.978,14.816,22.489,11993255.489,249126519.392832,395763
1613260800000,2021-02-14,ATOMUSDT,20.244,20.697,18.466,19.084,3417639.721,67195421.30867,114379
1613174400000,2021-02-13,ATOMUSDT,21.071,22.058,19.101,20.248,5139992.029,105175575.568211,171583
1613088000000,2021-02-12,ATOMUSDT,17.63,22.157,17.27,21.076,10531076.955,212895795.368858,302864
1613001600000,2021-02-11,ATOMUSDT,14.97,18.476,14.775,17.652,7631682.568,127985224.645876,205925
1612915200000,2021-02-10,ATOMUSDT,15.052,15.58,13.55,14.965,5850558.985,86015218.690529,161600
1612828800000,2021-02-09,ATOMUSDT,14.169,15.483,13.792,15.057,5191355.308,75684002.775977,152138
1612742400000,2021-02-08,ATOMUSDT,13.822,15.01,13.233,14.169,8350155.347,119148242.248895,199115
1612656000000,2021-02-07,ATOMUSDT,12.087,14.126,11.394,13.841,10002469.742,129137173.763375,234260
1612569600000,2021-02-06,ATOMUSDT,12.191,13.7,11.265,12.087,9331824.848,113829098.277649,231695
1612483200000,2021-02-05,ATOMUSDT,9.158,12.878,9.01,12.19,11798935.87,130919506.19286,239652
1612396800000,2021-02-04,ATOMUSDT,9.303,9.5,8.636,9.152,3885308.144,35358362.767812,80676
1612310400000,2021-02-03,ATOMUSDT,8.893,9.419,8.75,9.303,4436227.486,40096984.737249,85574
1612224000000,2021-02-02,ATOMUSDT,9.29,9.34,8.7,8.893,3897416.89,34991132.016083,77568
1612137600000,2021-02-01,ATOMUSDT,8.145,9.296,7.828,9.29,5908698.599,50394383.165602,119131
1612051200000,2021-01-31,ATOMUSDT,8.052,8.9,7.691,8.145,5688232.395,47018208.682105,109936
1611964800000,2021-01-30,ATOMUSDT,7.978,8.308,7.754,8.048,2714072.108,21824796.521188,57328
1611878400000,2021-01-29,ATOMUSDT,8.044,8.542,7.678,7.975,4995228.545,40048154.315429,100961
1611792000000,2021-01-28,ATOMUSDT,6.96,8.55,6.804,8.041,7824119.582,61801982.707756,135517
1611705600000,2021-01-27,ATOMUSDT,7.726,7.97,6.763,6.953,5157639.118,37305544.937833,87132
1611619200000,2021-01-26,ATOMUSDT,7.74,7.96,7.366,7.732,2865384.986,22020054.492159,53388
1611532800000,2021-01-25,ATOMUSDT,8.246,8.55,7.669,7.738,3481469.67,28496369.311043,63579
1611446400000,2021-01-24,ATOMUSDT,8.338,8.792,7.7,8.24,4075946.974,33823054.124269,74255
1611360000000,2021-01-23,ATOMUSDT,7.983,8.68,7.849,8.329,4169853.016,34711872.592347,81759
1611273600000,2021-01-22,ATOMUSDT,7.178,8.464,6.603,7.985,5929008.698,45204843.406927,116234
1611187200000,2021-01-21,ATOMUSDT,8.903,8.96,7.035,7.177,5631612.686,44871888.150117,112550
1611100800000,2021-01-20,ATOMUSDT,8.9,9.479,7.95,8.909,6129562.754,52918880.667893,121222
1611014400000,2021-01-19,ATOMUSDT,9.546,10.2,8.826,8.891,5433238.136,51350824.909875,106770
1610928000000,2021-01-18,ATOMUSDT,8.545,9.866,8.487,9.539,9182788.846,84017536.218157,174757
1610841600000,2021-01-17,ATOMUSDT,9.032,9.202,8.009,8.544,7624184.564,64944799.08557,141437
1610755200000,2021-01-16,ATOMUSDT,7.888,9.6,7.537,9.03,14794069.546,127455081.481059,271727
1610668800000,2021-01-15,ATOMUSDT,6.482,8.5,6.449,7.896,21196989.982,162961724.703976,342310
1610582400000,2021-01-14,ATOMUSDT,6.243,6.59,6.137,6.476,5545983.063,35342337.046645,67422
1610496000000,2021-01-13,ATOMUSDT,5.711,6.26,5.543,6.242,2968674.689,17719513.112628,49306
1610409600000,2021-01-12,ATOMUSDT,5.717,6.15,5.5,5.711,4231481.074,24584169.642617,66539
1610323200000,2021-01-11,ATOMUSDT,6.411,6.453,5.0,5.726,8414159.796,46904719.30851,133731
1610236800000,2021-01-10,ATOMUSDT,6.544,7.142,5.972,6.409,7826922.192,51560901.72404,131576
