https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1672185600000,2022-12-28 00:00:00,UNI/USDT,5.159,5.1604,4.9281,4.9647,46931.024475072,9276.27086,23827.668007593,4709.55548,14970,5.059706640857509984
1672099200000,2022-12-27 00:00:00,UNI/USDT,5.1863,5.2913,5.1007,5.1586,47134.414946893,9085.34138,24059.326111576,4637.56431,15308,5.188315950260502998
1672012800000,2022-12-26 00:00:00,UNI/USDT,5.1327,5.2458,5.1057,5.1871,617876.334378363,120191.70581,310441.266927533,60391.0773,11736,5.140803282273558038
1671926400000,2022-12-25 00:00:00,UNI/USDT,5.1931,5.2121,5.0543,5.1235,782283.170608105,152882.17832,383102.653175644,74861.28509,8542,5.11727124577230902
1671840000000,2022-12-24 00:00:00,UNI/USDT,5.2532,5.26,5.1777,5.1886,928413.861991598,177983.16714,458868.816843376,87966.64725,9653,5.216340038648822846
1671753600000,2022-12-23 00:00:00,UNI/USDT,5.352,5.3944,5.2109,5.2518,650117.223541374,123240.95935,328804.877068994,62331.42353,11530,5.275457633438062768
1671667200000,2022-12-22 00:00:00,UNI/USDT,5.3016,5.3828,5.1337,5.3645,205575.224359978,39227.54527,101927.577663583,19454.08129,10727,5.241557374492307691
1671580800000,2022-12-21 00:00:00,UNI/USDT,5.3554,5.3562,5.2011,5.3016,171029.835280285,32438.24839,85822.648058851,16275.51528,10871,5.272624800628330033
1671494400000,2022-12-20 00:00:00,UNI/USDT,5.0842,5.3985,5.0533,5.361,36424.403654076,6863.96793,19079.824462581,3595.85021,3942,5.307028997454166336
1671408000000,2022-12-19 00:00:00,UNI/USDT,5.3404,5.4255,5.03,5.0864,12417.543389569,2362.87262,5908.724483881,1124.72529,1914,5.25687425217455924
1671321600000,2022-12-18 00:00:00,UNI/USDT,5.3868,5.4107,5.3081,5.3158,10896.375152407,2039.02696,5409.301432128,1012.29851,1648,5.343988170743957146
1671235200000,2022-12-17 00:00:00,UNI/USDT,5.2946,5.4469,5.2481,5.3947,13604.20638211,2536.68892,6966.98112404,1298.90587,1965,5.363218868804368558
1671148800000,2022-12-16 00:00:00,UNI/USDT,5.7866,5.8686,5.2345,5.2979,27468.445117979,4800.69127,13888.017221051,2426.08479,2420,5.726336020009789638
1671062400000,2022-12-15 00:00:00,UNI/USDT,5.9373,6.0019,5.7616,5.7882,56579.556784764,9595.79755,29084.996746678,4932.88046,3211,5.896828954724237952
1670976000000,2022-12-14 00:00:00,UNI/USDT,6.0855,6.1464,5.9445,5.9463,58201.166844139,9592.41481,29178.777041397,4808.07663,3377,6.067826372525931533
1670889600000,2022-12-13 00:00:00,UNI/USDT,5.9181,6.2207,5.8313,6.083,59120.090388951,9855.36812,29824.831106226,4971.06247,3440,6.000236909135058352
1670803200000,2022-12-12 00:00:00,UNI/USDT,5.9576,5.9637,5.767,5.9143,89142.580080155,15240.61795,44206.723733208,7554.5937,4553,5.849392224825129573
1670716800000,2022-12-11 00:00:00,UNI/USDT,6.1101,6.1438,4.9016,5.9349,71134.777811384,11703.38509,35319.891178545,5810.73077,4215,6.078580803950585728
1670630400000,2022-12-10 00:00:00,UNI/USDT,6.1631,6.2519,6.0786,6.1237,74790.614006446,12145.75282,37212.412604346,6043.29233,3929,6.157945286178669177
1670544000000,2022-12-09 00:00:00,UNI/USDT,6.1772,6.2742,6.0404,6.1553,71450.20948505,11619.79742,36284.693359458,5901.63731,4095,6.149174475710906877
1670457600000,2022-12-08 00:00:00,UNI/USDT,5.9814,6.2316,5.8986,6.1793,67492.933002843,11185.42633,33574.696760519,5561.11874,4277,6.035168670714548542
1670371200000,2022-12-07 00:00:00,UNI/USDT,6.1649,6.2719,5.9267,5.9816,57692.315532051,9560.45684,27650.879954518,4582.53863,3961,6.036116336676788293
1670284800000,2022-12-06 00:00:00,UNI/USDT,6.1596,6.2306,5.4713,6.1462,64402.647298488,10483.81127,31607.657436138,5143.70272,3753,6.143352973429534465
1670198400000,2022-12-05 00:00:00,UNI/USDT,6.2551,6.3978,6.1152,6.1503,59148.685982498,9413.93416,28684.443221038,4564.84498,3645,6.284225780051967348
1670112000000,2022-12-04 00:00:00,UNI/USDT,6.0683,6.4955,6.0683,6.2674,57181.821850071,9235.5219,28343.327744244,4576.91653,3227,6.191856170127629303
