https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USDT,tradecount
1685145600000,2023-05-27,LTCUSDT,87.08,88.81,86.91,88.55,335522.417,29514215.58001,73124
1685059200000,2023-05-26,LTCUSDT,86.57,88.2,86.05,87.08,684744.479,59665742.29974,119317
1684972800000,2023-05-25,LTCUSDT,85.83,86.79,82.54,86.57,836219.141,70684845.95755,138217
1684886400000,2023-05-24,LTCUSDT,91.7,91.89,84.33,85.82,1241381.96,107797032.91623,219999
1684800000000,2023-05-23,LTCUSDT,90.83,93.11,90.38,91.7,437608.283,40116087.22196,88040
1684713600000,2023-05-22,LTCUSDT,92.17,92.79,89.81,90.83,462506.227,42134737.75033,115654
1684627200000,2023-05-21,LTCUSDT,92.41,93.49,91.14,92.18,434485.442,40100880.11056,100854
1684540800000,2023-05-20,LTCUSDT,91.78,92.78,90.21,92.42,331961.718,30372261.95258,83268
1684454400000,2023-05-19,LTCUSDT,90.44,93.31,90.26,91.8,674615.432,62018442.29738,132414
1684368000000,2023-05-18,LTCUSDT,93.88,94.21,89.15,90.43,778910.547,71599315.88753,171095
1684281600000,2023-05-17,LTCUSDT,89.99,95.0,89.59,93.88,1631954.238,151079802.81441,279319
1684195200000,2023-05-16,LTCUSDT,86.91,90.55,86.13,89.99,1212427.879,107691597.87241,207816
1684108800000,2023-05-15,LTCUSDT,83.49,88.5,82.14,86.89,1110552.095,96219891.98792,196526
1684022400000,2023-05-14,LTCUSDT,80.26,84.02,79.55,83.5,475081.378,38983497.68831,101661
1683936000000,2023-05-13,LTCUSDT,80.45,81.09,79.78,80.26,378311.771,30438326.681,73924
1683849600000,2023-05-12,LTCUSDT,80.89,81.48,77.07,80.45,770849.129,60946626.82422,158776
1683763200000,2023-05-11,LTCUSDT,80.93,81.97,78.37,80.88,787875.496,63370731.97902,162280
1683676800000,2023-05-10,LTCUSDT,79.91,82.04,77.12,80.93,862746.998,69224904.6576,156265
1683590400000,2023-05-09,LTCUSDT,77.72,80.1,77.31,79.9,652411.76,51396156.09515,118001
1683504000000,2023-05-08,LTCUSDT,83.41,85.25,75.2,77.71,1093958.201,87306474.35932,201872
1683417600000,2023-05-07,LTCUSDT,83.27,84.69,82.93,83.42,405461.481,33955742.0686,83519
