https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1629244800000,2021-08-18 00:00:00,BNB/USDT,402.2691,411.92503799,386.12145075,396.38372731,742740.09250924,1860.75033601,0,0,0,399.16160601
1629158400000,2021-08-17 00:00:00,BNB/USDT,415.54801807,435.51870462,399.5152702,400.34820875,1664309.60682333,3932.87260795,0,0,0,423.17912953
1629072000000,2021-08-16 00:00:00,BNB/USDT,414.28930269,436.9005559,411.21075053,416.09338329,771238.78716215,1821.47316183,0,0,0,423.41485086
1628985600000,2021-08-15 00:00:00,BNB/USDT,409.42334452,414.62521557,396.54019304,414.02753716,283586.82013811,702.55501239,0,0,0,403.65069658
1628899200000,2021-08-14 00:00:00,BNB/USDT,409.05912268,418.68116917,400.5,409.06927588,332747.30552191,815.71067348,0,0,0,407.92319671
1628812800000,2021-08-13 00:00:00,BNB/USDT,385.71908685,411.18491336,383.09489338,410.87524475,363426.10868114,911.66747403,0,0,0,398.63888866
1628726400000,2021-08-12 00:00:00,BNB/USDT,390.70617828,405.96193257,372.19907222,385.63840666,839629.82603273,2195.03574473,0,0,0,382.51305385
1628640000000,2021-08-11 00:00:00,BNB/USDT,372.2991814,408.04537205,372.2991814,391.99999871,408863.24405585,1044.7196846,0,0,0,391.36167345
1628553600000,2021-08-10 00:00:00,BNB/USDT,353.17604417,376.05635017,349.08654615,371.77215816,361054.27230014,986.64808753,0,0,0,365.94027481
1628467200000,2021-08-09 00:00:00,BNB/USDT,342.2551723,357.19315073,333.71214199,354.76241813,315691.33685752,898.97971298,0,0,0,351.16625247
1628380800000,2021-08-08 00:00:00,BNB/USDT,356.25610529,359.46070697,337.83979065,341.84990239,173015.57884432,491.6488724,0,0,0,351.90882875
1628294400000,2021-08-07 00:00:00,BNB/USDT,341.44757185,359.17283518,340.60852266,354.671133,263621.57417936,748.85122484,0,0,0,352.03464377
1628208000000,2021-08-06 00:00:00,BNB/USDT,338.03491752,346.88785428,331.4,342.039065,131572.79762582,388.5086654,0,0,0,338.661166
1628121600000,2021-08-05 00:00:00,BNB/USDT,334.41031584,339.94656973,323.84058354,337.71493826,113268.9916196,342.23521044,0,0,0,330.96825856
1628035200000,2021-08-04 00:00:00,BNB/USDT,323.53106048,337.04994601,320,334.89754134,151343.1209803,460.71129174,0,0,0,328.49883146
1627948800000,2021-08-03 00:00:00,BNB/USDT,328.7393113,333.78102572,317.57979574,323.82145508,69975.68740058,216.45404028,0,0,0,323.28196466
1627862400000,2021-08-02 00:00:00,BNB/USDT,334.03960646,337.51468,327.01098384,330.81224453,499651.22164828,1510.41200245,0,0,0,330.80458897
1627776000000,2021-08-01 00:00:00,BNB/USDT,332.45714336,347.07376979,329.61850345,334.00520422,292357.30346315,863.96615034,0,0,0,338.38976602
1627689600000,2021-07-31 00:00:00,BNB/USDT,322.50722059,337.72144767,317.57979574,332.02656,213114.61465179,649.13410092,0,0,0,328.30599155
1627603200000,2021-07-30 00:00:00,BNB/USDT,316.51268977,325,305.55841,322.33260893,210193.76658602,664.92666821,0,0,0,316.11571115
1627516800000,2021-07-29 00:00:00,BNB/USDT,312.744,319.92196568,309.14899521,316.33020001,105684.65940056,337.1541643,0,0,0,313.46093446
1627430400000,2021-07-28 00:00:00,BNB/USDT,313.16884554,318.34472604,308.43429649,312.744,149677.51515593,475.9052894,0,0,0,314.51114011
1627344000000,2021-07-27 00:00:00,BNB/USDT,303.80379052,317.52935101,298.7805033,313.71953036,160121.37005642,522.76533368,0,0,0,306.29684055
1627257600000,2021-07-26 00:00:00,BNB/USDT,302.40461914,327.3,302.40461914,304.0840757,421408.94458268,1334.66095321,0,0,0,315.7423191
1627171200000,2021-07-25 00:00:00,BNB/USDT,300.37240783,303.8,292.53194741,302.29193215,66202.4153052,221.63704599,0,0,0,298.69742672
1627084800000,2021-07-24 00:00:00,BNB/USDT,299.02149287,307.55794828,295.94367862,301.55101425,102868.73972165,340.46848441,0,0,0,302.13880118
1626998400000,2021-07-23 00:00:00,BNB/USDT,293.81421445,300.72068903,281.4391834,298.86410728,191980.91915567,652.60172199,0,0,0,294.17776981
1626912000000,2021-07-22 00:00:00,BNB/USDT,291.6400739,297.79086927,288.1630317,292.45121783,106745.08800705,364.0654568,0,0,0,293.20301064
1626825600000,2021-07-21 00:00:00,BNB/USDT,264.26372753,298.38158404,261.34146054,292.89979056,481398.56764369,1710.46408887,0,0,0,281.44324734
1626739200000,2021-07-20 00:00:00,BNB/USDT,280.56234652,282.92956025,255.3,265.37330475,245403.87059784,928.38156595,0,0,0,264.33513934
1626652800000,2021-07-19 00:00:00,BNB/USDT,301.75389297,303.13679929,279.36084328,280,305435.81285814,1052.73619532,0,0,0,290.13518696
1626566400000,2021-07-18 00:00:00,BNB/USDT,301.06712289,308.883711,299.39818552,301.97886114,135817.03845367,444.70551383,0,0,0,305.40893744
1626480000000,2021-07-17 00:00:00,BNB/USDT,302.68410779,306.35689453,295,299.99655667,124790.89572554,415.44139418,0,0,0,300.38146769
