https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1692316800000,2023-08-18 00:00:00,XRP/USDT,0.5066,0.5226,0.4834,0.5061,14903508.2972,29628914.6433,7862811.4908,15633004.9108,610151,0.503
1692230400000,2023-08-17 00:00:00,XRP/USDT,0.5889,0.5947,0.4626,0.5069,9979860.7872,17418996.0785,5150316.5916,8969271.115,500152,0.5743
1692144000000,2023-08-16 00:00:00,XRP/USDT,0.6102,0.6167,0.5755,0.5888,7258963.6425,12110677.5111,3959910.0799,6605346.8204,384222,0.5994
1692057600000,2023-08-15 00:00:00,XRP/USDT,0.634,0.6346,0.5831,0.6103,9296392.7257,14876778.0201,4964859.3397,7944019.3986,413694,0.625
1691971200000,2023-08-14 00:00:00,XRP/USDT,0.6255,0.6367,0.6244,0.6341,15272395.7946,24272049.0426,8146664.7015,12947091.8563,456424,0.6292
1691884800000,2023-08-13 00:00:00,XRP/USDT,0.6274,0.6379,0.6241,0.6258,25572159.0396,40662956.2406,13712157.2398,21803900.3672,591493,0.6288
1691798400000,2023-08-12 00:00:00,XRP/USDT,0.6316,0.6334,0.6239,0.6274,23864190.5135,37902957.6787,12799999.3678,20329864.115,538194,0.6296
1691712000000,2023-08-11 00:00:00,XRP/USDT,0.633,0.6411,0.6259,0.6317,26782237.2141,42360314.2364,14271742.7599,22573465.5101,793344,0.6322
1691625600000,2023-08-10 00:00:00,XRP/USDT,0.6434,0.6443,0.6244,0.633,23481634.382,37086736.9287,12407633.2742,19596393.1086,903105,0.6331
1691539200000,2023-08-09 00:00:00,XRP/USDT,0.6417,0.6657,0.6323,0.6435,24584018.6547,38014945.6161,13118944.804,20286807.4481,953156,0.6467
1691452800000,2023-08-08 00:00:00,XRP/USDT,0.6236,0.6484,0.6142,0.6417,22021959.0041,35063727.1099,11747180.066,18703212.06,848229,0.6281
1691366400000,2023-08-07 00:00:00,XRP/USDT,0.6239,0.6298,0.5982,0.6235,18908843.2944,30595844.8044,10121466.1046,16377240.5814,728311,0.618
1691280000000,2023-08-06 00:00:00,XRP/USDT,0.6286,0.6386,0.6216,0.6239,12527622.298,19840767.0618,6644115.3016,10522340.8162,437988,0.6314
1691193600000,2023-08-05 00:00:00,XRP/USDT,0.6355,0.6356,0.6109,0.6285,19225238.7823,30709466.6169,10277825.7649,16416177.1427,474294,0.626
1691107200000,2023-08-04 00:00:00,XRP/USDT,0.6627,0.6677,0.6278,0.6355,17838041.2869,27026030.4987,9550590.2245,14469109.9245,510185,0.6601
1691020800000,2023-08-03 00:00:00,XRP/USDT,0.6846,0.6872,0.656,0.663,47603085.1756,70818860.3763,25722337.5931,38267136.4461,520675,0.6722
1690934400000,2023-08-02 00:00:00,XRP/USDT,0.7063,0.7077,0.6786,0.685,17854033.0231,25809529.7439,9599461.8419,13876442.3006,413083,0.6918
1690848000000,2023-08-01 00:00:00,XRP/USDT,0.6971,0.7075,0.6759,0.7067,5329468.9287,7651469.6058,2716112.693,3898262.7513,125599,0.6965
