https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume NEAR
1653004800000,2022-05-20 00:00:00,NEAR/USDT,6.0458,6.7,5.5,5.76,2797.0904841984,485.60598684
1652918400000,2022-05-19 00:00:00,NEAR/USDT,5.8,6.2184,5.5678,6.1192,818.9069425071921,133.82581751
1652832000000,2022-05-18 00:00:00,NEAR/USDT,6.7423,6.7423,5.9,5.9,1221.5763698060002,207.04684234
1652745600000,2022-05-17 00:00:00,NEAR/USDT,6.7603,6.8955,6.3,6.7053,1313.004761616975,195.81596075
1652659200000,2022-05-16 00:00:00,NEAR/USDT,7.2865,7.2931,6.5669,6.6372,1211.474024029704,182.52787682
1652572800000,2022-05-15 00:00:00,NEAR/USDT,6.5887,7.1714,6.5887,7.1714,2989.7876208700777,416.90431727
1652486400000,2022-05-14 00:00:00,NEAR/USDT,6.7765,6.7765,6,6.5902,1628.499127538458,247.10921179
1652400000000,2022-05-13 00:00:00,NEAR/USDT,6.4076,7.938,6.11,6.4106,3122.645218595014,487.10654519
1652313600000,2022-05-12 00:00:00,NEAR/USDT,6.988,7.4262,5.23,6.3037,40893.21240057694,6487.17616647
1652227200000,2022-05-11 00:00:00,NEAR/USDT,9.4043,14.15,6.1506,6.3452,15477.34688768349,2439.22128344
1652140800000,2022-05-10 00:00:00,NEAR/USDT,9.4,10.8669,8.9047,9.6196,10072.26931470742,1047.05697895
1652054400000,2022-05-09 00:00:00,NEAR/USDT,11.1266,11.57,9.4,9.4,8369.151687178,890.33528587
1651968000000,2022-05-08 00:00:00,NEAR/USDT,10.2326,11.21,9.34,11.1283,12775.97924564298,1148.06208007
1651881600000,2022-05-07 00:00:00,NEAR/USDT,10.7,10.7716,10.23,10.4589,2750.880654960156,263.01816204
1651795200000,2022-05-06 00:00:00,NEAR/USDT,11.3004,11.3004,10.5,10.9555,1967.7295824335501,179.6111161
1651708800000,2022-05-05 00:00:00,NEAR/USDT,12.9999,13.1368,10.7759,11.0371,11826.195675275721,1071.49483789
1651622400000,2022-05-04 00:00:00,NEAR/USDT,12.3,12.95,11.9263,12.95,4011.1720815460003,309.74301788
1651536000000,2022-05-03 00:00:00,NEAR/USDT,11.855,12.0243,11.6018,11.6018,1718.179075385738,148.09590541
1651449600000,2022-05-02 00:00:00,NEAR/USDT,12.1,12.1301,11.1571,11.7743,2937.697236118731,249.50079717
1651363200000,2022-05-01 00:00:00,NEAR/USDT,10.4604,12.2164,10.1908,11.7861,13286.044815360832,1127.26387994
1651276800000,2022-04-30 00:00:00,NEAR/USDT,11.549,11.6455,10.226,10.3227,2954.2065215921516,286.18544776
1651190400000,2022-04-29 00:00:00,NEAR/USDT,12.3551,13.1356,11.1344,11.3552,9930.007130185344,874.48984872
1651104000000,2022-04-28 00:00:00,NEAR/USDT,12.682,13.1211,12.2888,12.4662,8234.040032380224,660.50921952
1651017600000,2022-04-27 00:00:00,NEAR/USDT,12.7404,13.2522,12.2676,12.7402,5510.821779942358,432.55378879
1650931200000,2022-04-26 00:00:00,NEAR/USDT,14.4234,15.2003,12.3788,12.5127,8988.200184681073,718.32619536
1650844800000,2022-04-25 00:00:00,NEAR/USDT,15.0,15.0,13.6048,14.2522,31470.743074418355,2208.13229357
1650672000000,2022-04-23 00:00:00,NEAR/USDT,15.4268,15.8881,15.1436,15.3394,2712.54715002081,176.83528365
1650585600000,2022-04-22 00:00:00,NEAR/USDT,15.6807,16.892,15.0532,15.5868,7476.421673007708,479.66366881
1650412800000,2022-04-20 00:00:00,NEAR/USDT,17.4633,17.724,17.4633,17.6143,776.469957441068,44.08179476
