https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume TRX
1592265600,2020-06-16 00:00:00,TRX/USD,0.01626,0.0164,0.01611,0.01624,33444.66,2057997.42
1592179200,2020-06-15 00:00:00,TRX/USD,0.01627,0.01633,0.0152,0.01626,37454.85,2359256.28
1592092800,2020-06-14 00:00:00,TRX/USD,0.01676,0.01683,0.0161,0.01627,34008.67,2060831.64
1592006400,2020-06-13 00:00:00,TRX/USD,0.01649,0.01684,0.01626,0.01676,34869.36,2106927.45
1591920000,2020-06-12 00:00:00,TRX/USD,0.01591,0.0167,0.0158,0.01649,41421.86,2543186.1
1591833600,2020-06-11 00:00:00,TRX/USD,0.01757,0.01769,0.0154,0.01591,44349.32,2634921.45
1591747200,2020-06-10 00:00:00,TRX/USD,0.01754,0.0177,0.01735,0.01757,39796.58,2276375.27
1591660800,2020-06-09 00:00:00,TRX/USD,0.01788,0.0179,0.01744,0.01754,45776.44,2601499.34
1591574400,2020-06-08 00:00:00,TRX/USD,0.01815,0.01849,0.01775,0.01788,39104.1,2164403.53
1591488000,2020-06-07 00:00:00,TRX/USD,0.01696,0.01815,0.0169,0.01815,37864.44,2169122.26
1591401600,2020-06-06 00:00:00,TRX/USD,0.01682,0.01712,0.0166,0.01696,37554.45,2228192.81
1591315200,2020-06-05 00:00:00,TRX/USD,0.01672,0.01722,0.01672,0.01682,26754.37,1577246.4
1591228800,2020-06-04 00:00:00,TRX/USD,0.0168,0.01728,0.01635,0.01672,34885.66,2063840.09
1591142400,2020-06-03 00:00:00,TRX/USD,0.01621,0.0169,0.0161,0.0168,10399.69,630891.99
1591056000,2020-06-02 00:00:00,TRX/USD,0.01621,0.01621,0.01621,0.01621,0.0,0.0
1590969600,2020-06-01 00:00:00,TRX/USD,0.01579,0.01641,0.01579,0.01621,21694.15,1335239.77
1590883200,2020-05-31 00:00:00,TRX/USD,0.0162,0.0171,0.0155,0.01579,37088.64,2232028.24
1590796800,2020-05-30 00:00:00,TRX/USD,0.01496,0.0163,0.01489,0.0162,30417.98,1954008.01
1590710400,2020-05-29 00:00:00,TRX/USD,0.01489,0.01521,0.01486,0.01496,32705.56,2175667.63
1590624000,2020-05-28 00:00:00,TRX/USD,0.01468,0.01507,0.01456,0.01489,31628.9,2137789.86
1590537600,2020-05-27 00:00:00,TRX/USD,0.01469,0.015,0.01454,0.01468,31979.21,2162197.96
1590451200,2020-05-26 00:00:00,TRX/USD,0.01491,0.01494,0.01442,0.01469,29637.93,2013048.94
1590364800,2020-05-25 00:00:00,TRX/USD,0.01448,0.01494,0.0142,0.01491,31220.94,2128656.5
1590278400,2020-05-24 00:00:00,TRX/USD,0.01513,0.01534,0.0144,0.01448,33277.3,2225339.33
1590192000,2020-05-23 00:00:00,TRX/USD,0.01489,0.01557,0.01471,0.01513,33169.12,2189644.9
1590105600,2020-05-22 00:00:00,TRX/USD,0.01405,0.01514,0.01401,0.01489,31235.99,2146313.21
1590019200,2020-05-21 00:00:00,TRX/USD,0.01506,0.01509,0.0139,0.01405,31046.71,2132581.65
1589932800,2020-05-20 00:00:00,TRX/USD,0.01552,0.01552,0.01478,0.01506,35303.83,2324802.15
1589846400,2020-05-19 00:00:00,TRX/USD,0.01533,0.01556,0.0151,0.01552,32554.2,2128703.33
1589760000,2020-05-18 00:00:00,TRX/USD,0.01508,0.01542,0.01491,0.01533,32143.87,2110908.9
1589673600,2020-05-17 00:00:00,TRX/USD,0.01499,0.0151,0.01484,0.01508,30819.44,2058700.6
1589587200,2020-05-16 00:00:00,TRX/USD,0.01479,0.01513,0.01462,0.01499,30514.2,2041886.37
1589500800,2020-05-15 00:00:00,TRX/USD,0.01516,0.01537,0.01449,0.01479,32980.64,2197860.12
1589414400,2020-05-14 00:00:00,TRX/USD,0.01499,0.0154,0.01472,0.01516,34067.51,2258361.41
1589328000,2020-05-13 00:00:00,TRX/USD,0.01465,0.0154,0.0145,0.01499,31570.85,2114026.06
1589241600,2020-05-12 00:00:00,TRX/USD,0.0142,0.0151,0.01406,0.01465,32464.59,2234614.66
1589155200,2020-05-11 00:00:00,TRX/USD,0.01441,0.01461,0.0135,0.0142,44156.11,3103973.58
1589068800,2020-05-10 00:00:00,TRX/USD,0.01613,0.01633,0.0136,0.01441,35641.13,2463790.19
