https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1690675200000,2023-07-30 00:00:00,SOL/USDT,25.165,25.191,23.546,24.249,1523351.26,61377.150835,738696.93,29785.039408,30978,24.824
1690588800000,2023-07-29 00:00:00,SOL/USDT,24.814,25.39,24.752,25.154,1609844.83,64096.287096,778248.81,30991.633782,31227,25.116
1690502400000,2023-07-28 00:00:00,SOL/USDT,25.101,25.545,24.566,24.827,1717809.75,68887.112939,834611.55,33465.025932,32393,24.938
1690416000000,2023-07-27 00:00:00,SOL/USDT,25.184,25.639,24.691,25.101,1567623.08,62339.444945,785520.68,31233.708001,32199,25.147
1690329600000,2023-07-26 00:00:00,SOL/USDT,23.285,25.641,23.172,25.171,1325166.43,54524.992978,642703.43,26430.204757,32455,24.327
1690243200000,2023-07-25 00:00:00,SOL/USDT,23.332,23.581,22.782,23.273,891346.75,38342.756062,444858.96,19136.282143,31627,23.247
1690156800000,2023-07-24 00:00:00,SOL/USDT,24.769,24.835,22.913,23.351,986605.19,41389.737798,489132.53,20523.061199,31720,23.848
1690070400000,2023-07-23 00:00:00,SOL/USDT,24.477,25.245,24.174,24.761,911181.83,36860.573302,455957.31,18446.567115,31034,24.72
1689984000000,2023-07-22 00:00:00,SOL/USDT,25.499,25.971,24.103,24.507,948203.49,37108.628895,463598.95,18144.122851,29686,25.555
1689897600000,2023-07-21 00:00:00,SOL/USDT,25.363,26.001,25.072,25.496,859335.5,33767.86045,434590.95,17082.848676,31014,25.449
1689811200000,2023-07-20 00:00:00,SOL/USDT,26.306,27.35,25.033,25.379,1049271.65,39876.020412,517143.24,19641.645372,31955,26.33
1689724800000,2023-07-19 00:00:00,SOL/USDT,25.526,26.979,25.352,26.303,925518.6,35140.145362,465495.84,17670.777574,32284,26.34
1689638400000,2023-07-18 00:00:00,SOL/USDT,26.805,27.097,24.778,25.545,950594.23,36852.47702,492921.45,19097.571262,32264,25.807
1689552000000,2023-07-17 00:00:00,SOL/USDT,27.387,28.474,25.651,26.798,1046546.37,38537.653302,520466.76,19160.451526,32271,27.172
1689465600000,2023-07-16 00:00:00,SOL/USDT,27.474,28.649,26.598,27.427,831570.2,29946.490597,412679.97,14858.663258,30527,27.772
1689379200000,2023-07-15 00:00:00,SOL/USDT,26.64,29.128,26.511,27.469,677407.21,24270.551239,339303.36,12146.641786,32137,27.923
1689292800000,2023-07-14 00:00:00,SOL/USDT,26.019,31.515,25.27,26.686,1350333.8,48694.754395,664120.19,23933.098071,32685,27.775
1689206400000,2023-07-13 00:00:00,SOL/USDT,21.925,26.717,21.424,25.993,1360584.54,58789.420608,675577.51,29231.514264,32012,23.273
