https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM,Volume USD
1643068800,2022-01-25,ATOM/USD,35.9933,37.1216,34.8305,35.796,21631.049687,774305.0545958519
1642982400,2022-01-24,ATOM/USD,34.6666,36.9553,29.9566,35.9691,54899.847243,1974698.095468191
1642896000,2022-01-23,ATOM/USD,29.321,34.7157,29.113,34.6399,23219.37444,804316.8086641559
1642809600,2022-01-22,ATOM/USD,34.5548,34.9529,27.475,29.0826,25934.793316,754251.2200919016
1642723200,2022-01-21,ATOM/USD,39.0682,41.029,32.2167,34.5387,46366.996595,1601455.7852957263
1642636800,2022-01-20,ATOM/USD,37.0654,42.0061,37.016,39.0464,12132.08698,473714.32105587196
1642550400,2022-01-19,ATOM/USD,38.3424,38.7705,35.3716,37.0655,9773.772236,362269.754813458
1642464000,2022-01-18,ATOM/USD,39.2132,40.0343,36.3052,38.3423,10394.224918,398538.4900734314
1642377600,2022-01-17,ATOM/USD,43.5694,44.3549,38.0325,39.2131,7861.515964,308274.4116479284
1642291200,2022-01-16,ATOM/USD,39.1698,43.6703,38.9168,43.5986,5946.648166,259265.5347301676
1642204800,2022-01-15,ATOM/USD,40.5189,40.8768,39.1479,39.1479,6581.36772,257646.725365788
1642118400,2022-01-14,ATOM/USD,37.5687,40.77,36.7105,40.527,9559.644088,387423.69595437596
1642032000,2022-01-13,ATOM/USD,40.1805,41.1888,37.5031,37.5435,12362.118369,464117.1909865515
1641945600,2022-01-12,ATOM/USD,38.6997,42.3602,38.6841,40.1724,10632.618226,427137.7924221624
1641859200,2022-01-11,ATOM/USD,37.8708,39.7168,36.2093,38.7075,11627.194699,450059.63881154254
1641772800,2022-01-10,ATOM/USD,34.9903,38.0743,32.9621,37.8454,45900.523584,1737123.6752459137
1641686400,2022-01-09,ATOM/USD,35.844,38.0006,34.1771,34.9957,16499.760743,577420.677033805
1641600000,2022-01-08,ATOM/USD,38.487,40.2225,34.1001,35.8713,23742.166224,851662.3672709712
1641513600,2022-01-07,ATOM/USD,40.1189,44.4529,37.7525,38.4612,39366.472688,1514081.7793477057
1641427200,2022-01-06,ATOM/USD,38.636,41.8034,35.516,40.1188,29314.94577,1176080.446357476
1641340800,2022-01-05,ATOM/USD,42.0847,43.1024,34.701,38.6619,30048.786204,1161743.1673404276
1641254400,2022-01-04,ATOM/USD,39.2406,43.7427,37.5746,42.0565,17031.869502,716300.819710863
1641168000,2022-01-03,ATOM/USD,35.568,39.7932,34.3223,39.2589,13680.870607,537095.9310731523
1641081600,2022-01-02,ATOM/USD,36.2757,36.7839,34.276,35.5919,6997.81348,249065.47759881202
1640995200,2022-01-01,ATOM/USD,32.4318,36.9264,32.4178,36.2514,11780.748466,427068.62494035234
1640908800,2021-12-31,ATOM/USD,30.1971,33.1951,30.1971,32.447,16407.799146,532383.8588902621
1640822400,2021-12-30,ATOM/USD,27.9673,30.48,26.5748,30.22,11833.908636,357620.71897991997
1640736000,2021-12-29,ATOM/USD,26.5793,28.0851,25.1742,27.9672,11537.417995,322669.276549764
1640649600,2021-12-28,ATOM/USD,29.7766,29.7766,26.2,26.5917,12236.740282,325395.7265568594
1640563200,2021-12-27,ATOM/USD,32.1607,32.6352,29.6962,29.7729,6663.502196,198391.7845312884
1640476800,2021-12-26,ATOM/USD,29.6843,32.2643,28.7007,32.1562,9064.208328,291470.4958368336
