https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1680220800,2023-03-31 00:00:00,BTC/USDT,28032,28662,27551,28481,71.24476992,2029122.2920915198
1680134400,2023-03-30 00:00:00,BTC/USDT,28348,29182,27690,28043,108.81519192,3051504.42701256
1680048000,2023-03-29 00:00:00,BTC/USDT,27265,28625,27256,28350,108.58748824,3078455.291604
1679961600,2023-03-28 00:00:00,BTC/USDT,27145,27514,26636,27264,102.66867027,2799158.62624128
1679875200,2023-03-27 00:00:00,BTC/USDT,27972,28020,26568,27127,131.00345731,3553730.7864483697
1679788800,2023-03-26 00:00:00,BTC/USDT,27464,28158,27430,27966,31.39638095,878031.1896477
1679702400,2023-03-25 00:00:00,BTC/USDT,27444,27754,27175,27475,33.79507865,928519.78590875
1679616000,2023-03-24 00:00:00,BTC/USDT,28294,28364,26933,27433,135.61872905,3720428.5940286503
1679529600,2023-03-23 00:00:00,BTC/USDT,27250,28748,27131,28320,140.44685062,3977454.8095584
1679443200,2023-03-22 00:00:00,BTC/USDT,28107,28813,26655,27273,98.99846052,2699985.01376196
1679356800,2023-03-21 00:00:00,BTC/USDT,27731,28410,27362,28147,41.98157220,1181655.3127134
1679270400,2023-03-20 00:00:00,BTC/USDT,27997,28454,27149,27677,340.27265602,9417726.30066554
1679184000,2023-03-19 00:00:00,BTC/USDT,27021,28372,26840,27920,93.70147449,2616145.1677607996
1679097600,2023-03-18 00:00:00,BTC/USDT,27393,27708,26603,26907,69.10458187,1859396.98437609
1679011200,2023-03-17 00:00:00,BTC/USDT,25002,27746,24911,27407,232.25676117,6365461.05338619
1678924800,2023-03-16 00:00:00,BTC/USDT,24318,25161,24135,25007,145.40577095,3636162.1141466503
1678838400,2023-03-15 00:00:00,BTC/USDT,24697,25150,23838,24287,163.97920150,3982562.8668305
1678752000,2023-03-14 00:00:00,BTC/USDT,24110,26378,24004,24696,217.90761028,5381446.34347488
1678665600,2023-03-13 00:00:00,BTC/USDT,22015,24478,21038,24108,94.34459292,2274459.44611536
1678579200,2023-03-12 00:00:00,BTC/USDT,20469,22141,20321,22039,55.50630979,1223303.56146181
1678492800,2023-03-11 00:00:00,BTC/USDT,20216,20681,19803,20462,106.75757871,2184473.5755640203
1678406400,2023-03-10 00:00:00,BTC/USDT,20331,20331,19568,20112,108.42454222,2180634.39312864
1678320000,2023-03-09 00:00:00,BTC/USDT,21722,21803,20097,20370,64.64959895,1316912.3306115
1678233600,2023-03-08 00:00:00,BTC/USDT,22245,22273,21640,21710,64.96764702,1410447.6168042
1678147200,2023-03-07 00:00:00,BTC/USDT,22420,22522,21955,22218,53.07761554,1179278.46206772
1678060800,2023-03-06 00:00:00,BTC/USDT,22435,22603,22268,22416,43.74543754,980597.72789664
1677974400,2023-03-05 00:00:00,BTC/USDT,22353,22645,22216,22444,22.15893497,497335.13646668004
1677888000,2023-03-04 00:00:00,BTC/USDT,22347,22402,22202,22331,5.81950865,129955.44766315001
1677801600,2023-03-03 00:00:00,BTC/USDT,23462,23464,22000,22342,62.64859563,1399694.9235654601
1677715200,2023-03-02 00:00:00,BTC/USDT,23666,23779,23242,23507,77.27270303,1816449.43012621
1677628800,2023-03-01 00:00:00,BTC/USDT,23148,23987,23042,23626,136.62740464,3227959.0620246404
1677542400,2023-02-28 00:00:00,BTC/USDT,23488,23586,23040,23151,41.47136885,960103.66024635
1677456000,2023-02-27 00:00:00,BTC/USDT,23517,23858,23129,23508,42.02013342,987809.29643736
1677369600,2023-02-26 00:00:00,BTC/USDT,23137,23700,23076,23515,22.90538053,538620.02316295
1677283200,2023-02-25 00:00:00,BTC/USDT,23192,23197,22746,23147,26.31332324,609074.4930362799
1677196800,2023-02-24 00:00:00,BTC/USDT,23925,24120,22859,23194,57.39690448,1331263.80250912
1677110400,2023-02-23 00:00:00,BTC/USDT,24198,24596,23650,23947,42.19736988,1010500.4165163599
1677024000,2023-02-22 00:00:00,BTC/USDT,24466,24466,23597,24172,49.21612934,1189652.27840648
1676937600,2023-02-21 00:00:00,BTC/USDT,24889,25256,24184,24426,51.81545531,1265644.3114020599
1676851200,2023-02-20 00:00:00,BTC/USDT,24307,25100,23876,24823,73.01199758,1812376.81592834
1676764800,2023-02-19 00:00:00,BTC/USDT,24636,25167,24220,24225,34.75510126,841942.3280235
1676678400,2023-02-18 00:00:00,BTC/USDT,24574,24801,24446,24634,19.85093419,489007.91283646
1676592000,2023-02-17 00:00:00,BTC/USDT,23500,25000,23385,24636,69.24337567,1705879.8030061203
1676505600,2023-02-16 00:00:00,BTC/USDT,24337,25207,23521,23589,85.70586980,2021715.7627122
1676419200,2023-02-15 00:00:00,BTC/USDT,22190,24371,22091,24338,71.07942660,1729931.0845908
1676332800,2023-02-14 00:00:00,BTC/USDT,21764,22307,21562,22204,23.12770012,513527.45346448
1676246400,2023-02-13 00:00:00,BTC/USDT,21800,21891,21378,21803,14.49684706,316074.75644918
1676160000,2023-02-12 00:00:00,BTC/USDT,21860,22038,21681,21783,6.61431483,144079.61994188998
1676073600,2023-02-11 00:00:00,BTC/USDT,21634,21841,21632,21836,2.87793677,62842.627309719996
1675987200,2023-02-10 00:00:00,BTC/USDT,21889,21905,21449,21633,20.35480309,440335.45524597
1675900800,2023-02-09 00:00:00,BTC/USDT,22962,23006,21719,21812,89.86633726,1960164.54831512
1675814400,2023-02-08 00:00:00,BTC/USDT,23300,23409,22700,22959,10.88820736,249982.35277824
1675728000,2023-02-07 00:00:00,BTC/USDT,22789,23328,22780,23289,13.94370031,324734.83651959
1675641600,2023-02-06 00:00:00,BTC/USDT,22932,23137,22300,22774,96.07207735,2187945.4895689
1675555200,2023-02-05 00:00:00,BTC/USDT,23334,23425,22760,22955,37.88270919,869597.58945645
1675468800,2023-02-04 00:00:00,BTC/USDT,23430,23571,23266,23315,10.74508095,250521.56234925002
1675382400,2023-02-03 00:00:00,BTC/USDT,23507,23698,23244,23434,34.47144779,807803.90751086
1675296000,2023-02-02 00:00:00,BTC/USDT,23745,24244,23400,23473,72.09496328,1692285.07307144
1675209600,2023-02-01 00:00:00,BTC/USDT,23132,23800,22779,23721,46.11842057,1093975.05434097
1675123200,2023-01-31 00:00:00,BTC/USDT,22823,23300,22727,23136,22.75020632,526348.77341952
1675036800,2023-01-30 00:00:00,BTC/USDT,23742,23772,22505,22823,81.19559798,1853127.13269754
1674950400,2023-01-29 00:00:00,BTC/USDT,23029,23948,22981,23783,35.69949105,849040.9956421499
1674864000,2023-01-28 00:00:00,BTC/USDT,23054,23158,22889,22982,15.62908659,359187.66801138
1674777600,2023-01-27 00:00:00,BTC/USDT,23022,23484,22561,23054,54.04362611,1245921.75633994
1674691200,2023-01-26 00:00:00,BTC/USDT,23116,23260,22872,23021,53.48053837,1231175.47381577
1674604800,2023-01-25 00:00:00,BTC/USDT,22643,23810,22337,23042,68.74436351,1584007.62399742
1674518400,2023-01-24 00:00:00,BTC/USDT,22913,23141,22488,22583,73.49297989,1659691.96485587
1674432000,2023-01-23 00:00:00,BTC/USDT,22706,23143,22521,22952,33.36287518,765744.71113136
1674345600,2023-01-22 00:00:00,BTC/USDT,22765,23063,22259,22710,91.93346269,2087808.9376899
1674259200,2023-01-21 00:00:00,BTC/USDT,22671,23358,22446,22777,140.73084961,3205426.5615669703
1674172800,2023-01-20 00:00:00,BTC/USDT,21072,22741,20876,22693,135.19930930,3068077.9259449
1674086400,2023-01-19 00:00:00,BTC/USDT,20676,21175,20653,21125,83.85764891,1771492.8332237499
1674000000,2023-01-18 00:00:00,BTC/USDT,21135,21631,20416,20664,112.49664200,2324630.6102879997
1673913600,2023-01-17 00:00:00,BTC/USDT,21171,21606,20853,21135,60.04713090,1269096.1115715
1673827200,2023-01-16 00:00:00,BTC/USDT,20852,21451,20644,21185,115.60337405,2449057.47924925
1673740800,2023-01-15 00:00:00,BTC/USDT,20932,21040,20301,20870,71.25501166,1487092.0933442
1673654400,2023-01-14 00:00:00,BTC/USDT,19935,21300,19897,20946,349.80662243,7327049.51341878
1673568000,2023-01-13 00:00:00,BTC/USDT,18878,19974,18723,19928,226.14438668,4506605.33775904
1673481600,2023-01-12 00:00:00,BTC/USDT,17956,19107,17879,18854,308.19346710,5810679.6287034005
1673395200,2023-01-11 00:00:00,BTC/USDT,17438,17992,17322,17954,33.67223956,604551.38906024
1673308800,2023-01-10 00:00:00,BTC/USDT,17191,17489,17152,17447,48.75272367,850588.7698704901
1673222400,2023-01-09 00:00:00,BTC/USDT,17135,17396,17107,17189,104.94911148,1803970.27722972
1673136000,2023-01-08 00:00:00,BTC/USDT,16955,17158,16914,17114,23.53883582,402843.63622348
1673049600,2023-01-07 00:00:00,BTC/USDT,16948,16974,16906,16947,45.79184703,776034.43161741
1672963200,2023-01-06 00:00:00,BTC/USDT,16835,17020,16689,16949,53.63882555,909124.45424695
1672876800,2023-01-05 00:00:00,BTC/USDT,16859,16879,16764,16833,79.47422517,1337789.6322866098
1672790400,2023-01-04 00:00:00,BTC/USDT,16672,16988,16662,16849,43.18099291,727556.54954059
1672704000,2023-01-03 00:00:00,BTC/USDT,16670,16766,15000,16678,85.41399463,1424534.60243914
1672617600,2023-01-02 00:00:00,BTC/USDT,16600,16768,16561,16674,7.40903218,123538.20256932
1672531200,2023-01-01 00:00:00,BTC/USDT,16540,16626,16505,16609,5.63760363,93634.95869067
1672444800,2022-12-31 00:00:00,BTC/USDT,16571,16635,16493,16540,18.80770997,311079.5229038
1672358400,2022-12-30 00:00:00,BTC/USDT,16636,16678,16354,16609,20.85194721,346329.99121089
1672272000,2022-12-29 00:00:00,BTC/USDT,16552,16658,16506,16639,20.07846621,334085.59926819
1672185600,2022-12-28 00:00:00,BTC/USDT,16707,16759,16455,16547,12.88286897,213172.83284659
1672099200,2022-12-27 00:00:00,BTC/USDT,16920,16966,16613,16700,12.21760948,204034.078316
1672012800,2022-12-26 00:00:00,BTC/USDT,16836,16943,16803,16920,13.32545853,225466.75832760002
1671926400,2022-12-25 00:00:00,BTC/USDT,16838,16848,16726,16824,7.20477873,121213.19735352001
1671840000,2022-12-24 00:00:00,BTC/USDT,16801,16856,16801,16838,8.77567199,147764.76496762
1671753600,2022-12-23 00:00:00,BTC/USDT,16821,16929,16738,16782,16.03131965,269037.6063663
1671667200,2022-12-22 00:00:00,BTC/USDT,16826,16857,16578,16828,59.29577511,997829.30355108
1671580800,2022-12-21 00:00:00,BTC/USDT,16891,16915,16737,16834,68.47582763,1152722.0823234199
1671494400,2022-12-20 00:00:00,BTC/USDT,16432,17059,16408,16893,63.43521511,1071611.08885323
1671408000,2022-12-19 00:00:00,BTC/USDT,16743,16811,16244,16425,22.54681772,370331.481051
1671321600,2022-12-18 00:00:00,BTC/USDT,16786,16825,16668,16743,9.55310658,159947.66346894
1671235200,2022-12-17 00:00:00,BTC/USDT,16628,16795,16586,16784,47.20680712,792319.05070208
1671148800,2022-12-16 00:00:00,BTC/USDT,17355,17534,16540,16627,134.93535401,2243570.13112427
1671062400,2022-12-15 00:00:00,BTC/USDT,17806,17897,17294,17354,280.93633170,4875369.1003217995
1670976000,2022-12-14 00:00:00,BTC/USDT,17774,18371,17671,17799,264.79880535,4713153.93642465
1670889600,2022-12-13 00:00:00,BTC/USDT,17228,18000,17088,17777,109.81211653,1952129.99555381
1670803200,2022-12-12 00:00:00,BTC/USDT,17083,17225,16867,17205,8.91535903,153388.75211114998
1670716800,2022-12-11 00:00:00,BTC/USDT,17122,17257,17076,17097,5.50201147,94067.89010259
1670630400,2022-12-10 00:00:00,BTC/USDT,17134,17203,17102,17125,3.37443189,57787.14611625
1670544000,2022-12-09 00:00:00,BTC/USDT,17217,17337,17037,17147,6.75688868,115860.37019596
1670457600,2022-12-08 00:00:00,BTC/USDT,16834,17281,16750,17219,13.08285282,225273.64270758
1670371200,2022-12-07 00:00:00,BTC/USDT,17078,17122,16741,16829,9.21673315,155108.40218135
1670284800,2022-12-06 00:00:00,BTC/USDT,16966,17100,16911,17073,7.07839385,120849.41820105001
1670198400,2022-12-05 00:00:00,BTC/USDT,17094,17421,16881,16961,23.09913521,391784.43229681
1670112000,2022-12-04 00:00:00,BTC/USDT,16945,17194,16916,17115,30.33343789,519156.78948735
1670025600,2022-12-03 00:00:00,BTC/USDT,17098,17136,16861,16892,3.93170296,66414.32640032
1669939200,2022-12-02 00:00:00,BTC/USDT,16975,17088,16800,17078,20.79782145,355185.1947231
1669852800,2022-12-01 00:00:00,BTC/USDT,17169,17250,16864,16975,37.41098737,635051.51060575
1669766400,2022-11-30 00:00:00,BTC/USDT,16454,17249,16429,17184,53.90096679,926234.2133193599
1669680000,2022-11-29 00:00:00,BTC/USDT,16215,16537,16107,16449,36.01154960,592353.9793704001
1669593600,2022-11-28 00:00:00,BTC/USDT,16433,16487,16006,16211,40.65192000,659008.27512
1669507200,2022-11-27 00:00:00,BTC/USDT,16458,16598,16420,16430,25.13979594,413046.8472942
1669420800,2022-11-26 00:00:00,BTC/USDT,16521,16692,16389,16454,41.88744467,689216.01460018
1669334400,2022-11-25 00:00:00,BTC/USDT,16595,16626,16360,16517,55.21356600,911962.469622
1669248000,2022-11-24 00:00:00,BTC/USDT,16612,16822,16470,16618,102.25706510,1699307.9078318002
1669161600,2022-11-23 00:00:00,BTC/USDT,16215,16670,16172,16670,72.39876305,1206887.3800435
1669075200,2022-11-22 00:00:00,BTC/USDT,15781,16329,15637,16181,45.64648351,738605.7496753101
1668988800,2022-11-21 00:00:00,BTC/USDT,16285,16286,15485,15789,49.40614254,780073.58456406
1668902400,2022-11-20 00:00:00,BTC/USDT,16703,16748,16189,16279,44.78457080,729048.0280532
1668816000,2022-11-19 00:00:00,BTC/USDT,16695,16816,16545,16704,137.00128129,2288469.40266816
1668729600,2022-11-18 00:00:00,BTC/USDT,16693,17000,16552,16703,25.22851008,421391.80386623996
1668643200,2022-11-17 00:00:00,BTC/USDT,16675,16752,16411,16693,23.90568011,399057.51807622996
1668556800,2022-11-16 00:00:00,BTC/USDT,16900,17000,16394,16662,251.86742815,4196615.0878353
1668470400,2022-11-15 00:00:00,BTC/USDT,16592,17121,16540,16900,133.19957343,2251072.7909669997
1668384000,2022-11-14 00:00:00,BTC/USDT,16320,17162,15836,16614,166.54681941,2767008.85767774
1668297600,2022-11-13 00:00:00,BTC/USDT,16786,16950,16285,16336,52.35793558,855319.23563488
1668211200,2022-11-12 00:00:00,BTC/USDT,17063,17118,16629,16789,34.27448539,575434.3352127101
1668124800,2022-11-11 00:00:00,BTC/USDT,17569,17787,16400,17030,99.85303923,1700497.2580869
1668038400,2022-11-10 00:00:00,BTC/USDT,15964,18036,15823,17517,239.36878765,4193023.05326505
1667952000,2022-11-09 00:00:00,BTC/USDT,18509,18571,15621,15930,188.99730283,3010727.0340819
1667865600,2022-11-08 00:00:00,BTC/USDT,20596,20666,17180,18541,280.54442500,5201574.183925
1667779200,2022-11-07 00:00:00,BTC/USDT,20905,21050,20400,20597,53.02128169,1092079.33896893
1667692800,2022-11-06 00:00:00,BTC/USDT,21302,21362,20884,20905,24.04541728,502669.4482384
1667606400,2022-11-05 00:00:00,BTC/USDT,21155,21459,21080,21293,23.39526447,498155.36635971
1667520000,2022-11-04 00:00:00,BTC/USDT,20200,21244,20184,21153,57.24573261,1210918.98189933
1667433600,2022-11-03 00:00:00,BTC/USDT,20148,20391,20031,20200,39.58381715,799593.10643
