https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume USD
1624924800,2021-06-29,DOT/USD,15.741,16.962,15.741,16.261,47667.63674,775123.44102914
1624838400,2021-06-28,DOT/USD,14.983,15.964,14.717,15.731,51748.608802,814057.3650642621
1624752000,2021-06-27,DOT/USD,14.462,14.973,14.061,14.973,41311.848119,618562.301885787
1624665600,2021-06-26,DOT/USD,14.646,14.935,13.838,14.456,43616.228814,630516.203735184
1624579200,2021-06-25,DOT/USD,16.257,16.638,14.644,14.644,30806.432025,451129.39057409996
1624492800,2021-06-24,DOT/USD,15.798,16.547,14.861,16.254,43060.616791,699907.2653209141
1624406400,2021-06-23,DOT/USD,14.643,16.759,14.154,15.805,73359.519677,1159447.208494985
1624320000,2021-06-22,DOT/USD,15.96,16.876,13.627,14.635,124725.471457,1825357.2747731952
1624233600,2021-06-21,DOT/USD,20.664,20.74,15.892,15.971,78831.457085,1259017.201104535
1624147200,2021-06-20,DOT/USD,20.375,20.962,19.058,20.665,32330.653734,668112.9594131099
1624060800,2021-06-19,DOT/USD,21.39,21.573,20.379,20.379,22937.919059,467451.852503361
1623974400,2021-06-18,DOT/USD,22.502,22.53,20.273,21.389,28590.172518,611515.199987502
1623888000,2021-06-17,DOT/USD,22.997,23.944,22.125,22.498,19721.983173,443705.177426154
1623801600,2021-06-16,DOT/USD,24.002,24.505,22.605,22.982,36568.630639,840420.2693454981
1623715200,2021-06-15,DOT/USD,25.872,25.872,23.709,24.007,36427.502977,874515.063968839
1623628800,2021-06-14,DOT/USD,22.003,25.9,21.306,25.873,49852.717685,1289839.364664005
1623542400,2021-06-13,DOT/USD,20.756,22.254,20.107,22.001,25607.116937,563382.179730937
1623456000,2021-06-12,DOT/USD,20.957,21.19,19.822,20.759,37578.988965,780102.2319244349
1623369600,2021-06-11,DOT/USD,22.688,23.094,20.549,20.952,27468.341802,575516.6974355041
1623283200,2021-06-10,DOT/USD,23.141,24.503,22.309,22.674,46350.131314,1050942.8774136358
1623196800,2021-06-09,DOT/USD,21.69,23.261,20.636,23.137,45331.134442,1048826.457584554
1623110400,2021-06-08,DOT/USD,21.676,22.243,19.963,21.707,58369.107468,1267018.215807876
1623024000,2021-06-07,DOT/USD,24.117,25.267,21.567,21.663,39810.405212,862412.808107556
1622937600,2021-06-06,DOT/USD,23.783,24.398,23.686,24.101,20499.766218,494064.865620018
1622851200,2021-06-05,DOT/USD,25.049,26.314,22.853,23.801,47710.004999,1135545.8289811988
1622764800,2021-06-04,DOT/USD,27.012,27.012,23.81,25.048,60041.235881,1503912.876347288
1622678400,2021-06-03,DOT/USD,26.053,28.3,25.831,27.004,46165.18578,1246644.67680312
