https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume DOT,Volume USDT,tradecount
1689206400000,2023-07-13,DOTUSDT,5.146,5.55,5.096,5.545,5509995.96,29655624.14948,112081
1689120000000,2023-07-12,DOTUSDT,5.213,5.31,5.1,5.147,2569152.05,13411560.24821,50345
1689033600000,2023-07-11,DOTUSDT,5.13,5.217,5.089,5.214,1663952.63,8558931.5318,37548
1688947200000,2023-07-10,DOTUSDT,5.081,5.23,4.98,5.131,2539022.61,12922480.82104,53676
1688860800000,2023-07-09,DOTUSDT,5.126,5.16,5.062,5.081,1198821.42,6120360.42909,26287
1688774400000,2023-07-08,DOTUSDT,5.119,5.196,5.055,5.128,1200936.94,6169765.56296,28087
1688688000000,2023-07-07,DOTUSDT,5.015,5.179,4.975,5.119,1988995.87,10141512.89392,41161
1688601600000,2023-07-06,DOTUSDT,5.207,5.368,5.01,5.014,2938752.21,15203583.1849,63992
1688515200000,2023-07-05,DOTUSDT,5.348,5.38,5.117,5.208,2843294.07,14903242.0847,60952
1688428800000,2023-07-04,DOTUSDT,5.429,5.513,5.256,5.348,3200600.98,17329307.79991,60987
1688342400000,2023-07-03,DOTUSDT,5.495,5.635,5.377,5.431,3882932.74,21304022.50275,76889
1688256000000,2023-07-02,DOTUSDT,5.351,5.53,5.224,5.496,4416008.07,23654072.5798,82922
1688169600000,2023-07-01,DOTUSDT,5.18,5.392,5.112,5.351,4991687.74,26273090.25383,82905
1688083200000,2023-06-30,DOTUSDT,4.986,5.2,4.789,5.18,6600936.81,33415986.54974,122408
1687996800000,2023-06-29,DOTUSDT,4.881,5.236,4.87,4.985,4821782.23,24292623.67253,82256
1687910400000,2023-06-28,DOTUSDT,5.095,5.099,4.746,4.879,3414960.81,16944765.44964,53117
1687824000000,2023-06-27,DOTUSDT,5.024,5.154,4.997,5.096,2553579.31,12991233.9991,40479
1687737600000,2023-06-26,DOTUSDT,5.194,5.238,5.0,5.024,5174613.73,26602849.34539,70094
1687651200000,2023-06-25,DOTUSDT,5.008,5.246,5.002,5.194,4469195.22,23044918.46999,61693
1687564800000,2023-06-24,DOTUSDT,5.098,5.139,4.905,5.008,2775434.8,13959468.3959,40805
1687478400000,2023-06-23,DOTUSDT,4.824,5.138,4.82,5.098,4776899.26,23838856.32772,72714
1687392000000,2023-06-22,DOTUSDT,4.821,4.976,4.745,4.825,4144355.55,20179951.51452,60360
1687305600000,2023-06-21,DOTUSDT,4.662,4.92,4.635,4.821,4584261.68,21743478.70285,64597
1687219200000,2023-06-20,DOTUSDT,4.53,4.678,4.374,4.662,3232432.59,14626701.32339,44807
1687132800000,2023-06-19,DOTUSDT,4.537,4.588,4.433,4.53,2442478.42,11011669.12241,34390
1687046400000,2023-06-18,DOTUSDT,4.53,4.667,4.478,4.536,2497125.54,11412990.99301,37950
1686960000000,2023-06-17,DOTUSDT,4.423,4.567,4.396,4.53,2348383.65,10578701.98313,31991
1686873600000,2023-06-16,DOTUSDT,4.375,4.468,4.276,4.422,3261216.97,14265621.08299,47480
1686787200000,2023-06-15,DOTUSDT,4.568,4.62,4.272,4.374,7444659.22,32740141.35939,119566
1686700800000,2023-06-14,DOTUSDT,4.627,4.802,4.505,4.569,3575780.44,16676521.01646,54302
1686614400000,2023-06-13,DOTUSDT,4.535,4.721,4.495,4.627,2663019.47,12273897.17822,41428
1686528000000,2023-06-12,DOTUSDT,4.523,4.556,4.411,4.535,2692091.23,12116494.19407,43074
1686441600000,2023-06-11,DOTUSDT,4.516,4.553,4.424,4.523,2824128.89,12663051.48728,45297
1686355200000,2023-06-10,DOTUSDT,4.982,4.986,4.2,4.517,11793308.25,52397132.99403,195093
1686268800000,2023-06-09,DOTUSDT,5.023,5.07,4.93,4.982,1851425.12,9261078.43642,29847
1686182400000,2023-06-08,DOTUSDT,5.024,5.058,4.977,5.023,2253377.78,11309747.85188,30719
1686096000000,2023-06-07,DOTUSDT,5.202,5.212,4.976,5.024,2788128.22,14188826.96152,45749
1686009600000,2023-06-06,DOTUSDT,5.065,5.27,4.985,5.202,3042165.47,15525952.74542,48153
1685923200000,2023-06-05,DOTUSDT,5.314,5.322,4.9,5.065,5436176.7,27909757.7125,92928
1685836800000,2023-06-04,DOTUSDT,5.341,5.384,5.306,5.314,1791577.75,9570498.51988,26171
1685750400000,2023-06-03,DOTUSDT,5.277,5.341,5.24,5.341,1228101.12,6481820.02123,19607
1685664000000,2023-06-02,DOTUSDT,5.206,5.435,5.16,5.278,2814835.17,14787347.84571,42946
1685577600000,2023-06-01,DOTUSDT,5.315,5.335,5.187,5.206,2320022.58,12140328.44553,36157
1685491200000,2023-05-31,DOTUSDT,5.441,5.463,5.269,5.315,2704545.15,14436698.43736,42634
1685404800000,2023-05-30,DOTUSDT,5.459,5.53,5.407,5.442,2241581.42,12258787.58261,37209
1685318400000,2023-05-29,DOTUSDT,5.502,5.539,5.414,5.459,1871798.74,10246806.30922,28634
1685232000000,2023-05-28,DOTUSDT,5.336,5.561,5.316,5.502,2093452.08,11360962.04433,32917
1685145600000,2023-05-27,DOTUSDT,5.244,5.375,5.231,5.337,1923151.28,10210606.87794,28199
1685059200000,2023-05-26,DOTUSDT,5.245,5.273,5.188,5.245,1672238.06,8753346.32514,24900
1684972800000,2023-05-25,DOTUSDT,5.253,5.297,5.14,5.245,2043413.21,10710698.78721,32662
1684886400000,2023-05-24,DOTUSDT,5.401,5.405,5.196,5.252,2314581.38,12202572.87667,39552
1684800000000,2023-05-23,DOTUSDT,5.312,5.45,5.29,5.401,1761134.4,9483913.60202,31485
1684713600000,2023-05-22,DOTUSDT,5.273,5.337,5.224,5.311,1716607.63,9087305.50079,27721
1684627200000,2023-05-21,DOTUSDT,5.409,5.433,5.242,5.273,1554875.25,8277355.04721,27871
1684540800000,2023-05-20,DOTUSDT,5.372,5.446,5.329,5.409,1506151.33,8130728.57158,24253
1684454400000,2023-05-19,DOTUSDT,5.338,5.393,5.313,5.372,1832422.71,9811234.69252,28355
1684368000000,2023-05-18,DOTUSDT,5.423,5.467,5.246,5.338,2885485.35,15510476.84942,44498
1684281600000,2023-05-17,DOTUSDT,5.297,5.44,5.221,5.422,2843186.06,15123450.10614,47468
1684195200000,2023-05-16,DOTUSDT,5.313,5.337,5.232,5.296,1827920.88,9650031.63083,35732
1684108800000,2023-05-15,DOTUSDT,5.349,5.431,5.267,5.313,2109633.37,11327793.33635,39483
1684022400000,2023-05-14,DOTUSDT,5.347,5.448,5.31,5.347,1414347.84,7593227.61105,30562
1683936000000,2023-05-13,DOTUSDT,5.342,5.396,5.313,5.346,1362265.01,7294873.32092,28994
1683849600000,2023-05-12,DOTUSDT,5.278,5.35,5.117,5.342,2844970.82,14878359.16953,57868
1683763200000,2023-05-11,DOTUSDT,5.463,5.47,5.18,5.278,2732930.39,14574895.06973,55478
1683676800000,2023-05-10,DOTUSDT,5.324,5.523,5.209,5.463,3980709.56,21443555.78318,72231
1683590400000,2023-05-09,DOTUSDT,5.368,5.412,5.291,5.323,2384156.76,12729365.70728,41586
1683504000000,2023-05-08,DOTUSDT,5.632,5.648,5.17,5.369,5071223.12,27318219.3073,96663
1683417600000,2023-05-07,DOTUSDT,5.632,5.7,5.601,5.632,1536706.1,8691414.60583,31013
1683331200000,2023-05-06,DOTUSDT,5.846,5.894,5.584,5.633,2186936.32,12481077.69585,47968
1683244800000,2023-05-05,DOTUSDT,5.671,5.901,5.651,5.847,2688794.26,15578171.08901,55239
1683158400000,2023-05-04,DOTUSDT,5.779,5.798,5.619,5.671,1642330.91,9383320.64376,33667
1683072000000,2023-05-03,DOTUSDT,5.712,5.812,5.55,5.778,2833604.94,16059932.93823,56428
1682985600000,2023-05-02,DOTUSDT,5.666,5.757,5.618,5.713,2302881.33,13103661.69395,44298
1682899200000,2023-05-01,DOTUSDT,5.877,5.909,5.596,5.666,3218928.53,18483399.91603,66734
1682812800000,2023-04-30,DOTUSDT,6.041,6.087,5.844,5.877,2601857.52,15571263.08844,49090
1682726400000,2023-04-29,DOTUSDT,5.947,6.056,5.919,6.041,2093279.06,12534354.14918,39253
1682640000000,2023-04-28,DOTUSDT,5.971,5.981,5.771,5.947,3150009.51,18564731.71513,60134
