https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ETH
1658448000000,2022-07-22 00:00:00,ETH/USDT,1575.2465,1645.7935,1516.3984,1534.368,2708460.2974792174,1765.19602695
1658361600000,2022-07-21 00:00:00,ETH/USDT,1520.495,1603.5644,1464.3587,1574.594,2544830.71160481,1616.18214702
1658275200000,2022-07-20 00:00:00,ETH/USDT,1541.9359,1619.9001,1486.5352,1521.4165,2657327.137699611,1746.61385472
1658188800000,2022-07-19 00:00:00,ETH/USDT,1578.1936,1635.9999,1493.8712,1543.8282,3582859.284946299,2320.7629482
1658102400000,2022-07-18 00:00:00,ETH/USDT,1338.0744,1595.6162,1337.2469,1583.6148,4262888.890541979,2691.87234834
1658016000000,2022-07-17 00:00:00,ETH/USDT,1355.278,1385.0324,1320.6525,1337.4363,3517093.743689043,2629.72804289
1657929600000,2022-07-16 00:00:00,ETH/USDT,1230.8598,1419.29,1192.2157,1356.4314,3503975.5407585674,2583.23092547
1657843200000,2022-07-15 00:00:00,ETH/USDT,1192.4227,1290.0,1182.1918,1230.9066,2152793.9844203936,1748.94990767
1657756800000,2022-07-14 00:00:00,ETH/USDT,1114.9622,1211.801,1072.5001,1192.783,2389577.155941486,2003.36285472
1657670400000,2022-07-13 00:00:00,ETH/USDT,1038.632,1117.2,1007.3098,1114.8217,2747348.9942112444,2464.38420979
1657584000000,2022-07-12 00:00:00,ETH/USDT,1096.8516,1097.7866,1034.9,1038.4751,1397000.3783795717,1345.24205576
1657497600000,2022-07-11 00:00:00,ETH/USDT,1168.1897,1170.9682,1092.8999,1096.4776,1475117.193423274,1345.32360116
1657411200000,2022-07-10 00:00:00,ETH/USDT,1217.0064,1218.2931,1155.0,1166.9711,1520610.7751321022,1303.04064525
1657324800000,2022-07-09 00:00:00,ETH/USDT,1214.3,1234.4803,1205.5728,1216.9944,1322266.1936288185,1086.501461
1657238400000,2022-07-08 00:00:00,ETH/USDT,1237.4813,1274.0,1193.87,1216.5787,3513788.585089273,2888.25423714
1657152000000,2022-07-07 00:00:00,ETH/USDT,1186.6374,1252.3396,1164.1062,1237.2942,2017263.745621674,1630.38325535
1657065600000,2022-07-06 00:00:00,ETH/USDT,1133.0,1203.809,1112.1707,1186.9277,1876724.0442610248,1581.16121501
1656979200000,2022-07-05 00:00:00,ETH/USDT,1150.6321,1173.5787,1078.2,1133.4611,2025178.6838249678,1786.72094157
1656892800000,2022-07-04 00:00:00,ETH/USDT,1074.4594,1159.0,1046.0383,1150.2696,1616663.4879018755,1405.46484746
1656806400000,2022-07-03 00:00:00,ETH/USDT,1067.6074,1086.4759,1041.9519,1074.7638,1270455.845568401,1182.07911875
1656720000000,2022-07-02 00:00:00,ETH/USDT,1059.5204,1078.0,1029.1496,1066.685,3285912.4050567863,3080.48993382
