https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SHIB,Volume USDT,tradecount
1693267200000,2023-08-29,SHIBUSDT,8.23e-06,8.46e-06,8.04e-06,8.37e-06,4396184664000.0,36492529.15334041,63713
1693180800000,2023-08-28,SHIBUSDT,8.05e-06,8.34e-06,7.86e-06,8.22e-06,2750552253187.0,22244668.9387941,51196
1693094400000,2023-08-27,SHIBUSDT,8.08e-06,8.18e-06,8.01e-06,8.04e-06,932785811564.0,7547352.88586132,22402
1693008000000,2023-08-26,SHIBUSDT,8.14e-06,8.24e-06,8.07e-06,8.08e-06,1075124515723.0,8775101.76925837,23641
1692921600000,2023-08-25,SHIBUSDT,8.21e-06,8.26e-06,7.98e-06,8.14e-06,2527842154707.0,20472402.02423156,44913
1692835200000,2023-08-24,SHIBUSDT,8.31e-06,8.36e-06,8.03e-06,8.21e-06,2375174834028.0,19524109.9923887,42587
1692748800000,2023-08-23,SHIBUSDT,8e-06,8.54e-06,7.97e-06,8.32e-06,5240428895764.0,43436364.54811596,88006
1692662400000,2023-08-22,SHIBUSDT,7.97e-06,8.07e-06,7.55e-06,8e-06,3673996631029.0,29003712.83417936,61698
1692576000000,2023-08-21,SHIBUSDT,8.3e-06,8.38e-06,7.76e-06,7.98e-06,4112406316798.0,33054011.08007542,66905
1692489600000,2023-08-20,SHIBUSDT,8.44e-06,8.49e-06,8.15e-06,8.31e-06,2427339620190.0,20258098.96885269,44460
1692403200000,2023-08-19,SHIBUSDT,8.59e-06,8.68e-06,8.32e-06,8.44e-06,3369714578502.0,28589466.34972743,61024
1692316800000,2023-08-18,SHIBUSDT,8.13e-06,8.71e-06,8.03e-06,8.59e-06,8294158090057.0,69744018.15969512,136159
1692230400000,2023-08-17,SHIBUSDT,9.21e-06,9.36e-06,7.25e-06,8.13e-06,13924563111815.0,120281419.35561216,242772
1692144000000,2023-08-16,SHIBUSDT,9.94e-06,1.017e-05,9.03e-06,9.21e-06,8875401499392.0,85398281.63554408,177157
