https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume DOT
1654560000000,2022-06-07 00:00:00,DOT/USDT,9.4331,9.4518,8.8763,9.2765,5055.0357256553,544.9292002
1654473600000,2022-06-06 00:00:00,DOT/USDT,9.4077,9.9303,9.4077,9.4773,21815.45446747149,2301.8638713
1654387200000,2022-06-05 00:00:00,DOT/USDT,9.4518,9.5406,9.3,9.3452,1605.162930938752,171.76335776
1654300800000,2022-06-04 00:00:00,DOT/USDT,9.3016,9.4962,9.1719,9.389,1506.05093360205,160.40589345
1654214400000,2022-06-03 00:00:00,DOT/USDT,9.8851,9.8851,9.25,9.3452,3110.984642436992,332.89652896
1654128000000,2022-06-02 00:00:00,DOT/USDT,9.4331,10.0,9.3452,9.9314,3210.85412348592,323.3032728
1654041600000,2022-06-01 00:00:00,DOT/USDT,10.3103,10.746,9.3016,9.4962,7590.324700421904,799.30126792
1653955200000,2022-05-31 00:00:00,DOT/USDT,10.526,10.625,10.0,10.3587,9103.82523032235,878.8578905
1653868800000,2022-05-30 00:00:00,DOT/USDT,9.9314,10.7753,9.9314,10.4561,3881.7808268530534,371.24557214
1653782400000,2022-05-29 00:00:00,DOT/USDT,9.6564,10.0447,9.3517,9.9978,2187.737233198914,218.82186413
1653696000000,2022-05-28 00:00:00,DOT/USDT,9.1471,9.7666,9.0,9.7017,3372.185431712061,347.58706533
1653609600000,2022-05-27 00:00:00,DOT/USDT,9.0,11.9202,8.5902,9.0864,10219.373753150448,1124.68895857
1653523200000,2022-05-26 00:00:00,DOT/USDT,9.8976,9.8976,8.9079,9.2235,2988.4957032387597,324.00885816
1653436800000,2022-05-25 00:00:00,DOT/USDT,10.029,10.1,9.8,9.9566,1520.98750264892,152.7617362
1653350400000,2022-05-24 00:00:00,DOT/USDT,10,10.2298,9.7,10.2298,1169.6070673170238,114.33332688
1653264000000,2022-05-23 00:00:00,DOT/USDT,10.3959,10.6535,9.8831,9.8831,1458.389421700852,147.56396492
1653177600000,2022-05-22 00:00:00,DOT/USDT,10.0165,10.3295,9.9834,10.1953,2819.0172013876645,276.50164305
1653091200000,2022-05-21 00:00:00,DOT/USDT,9.4492,10.039,9.4492,10.0122,571.58755109808,57.0891064
1653004800000,2022-05-20 00:00:00,DOT/USDT,10.0408,10.1766,9.4724,9.7315,1623.21581406659,166.80016586
1652918400000,2022-05-19 00:00:00,DOT/USDT,9.5556,10.356,9.424,10.0465,1253.38536727058,124.75841012
1652832000000,2022-05-18 00:00:00,DOT/USDT,11.0174,11.13,9.7568,9.8031,2307.015748525095,235.33532745
1652745600000,2022-05-17 00:00:00,DOT/USDT,10.8392,11.2711,10.5,11.0625,1259.6299017975,113.86484988
1652659200000,2022-05-16 00:00:00,DOT/USDT,11.4883,11.4883,10.513,10.8747,3196.5276339309694,293.94168427
1652572800000,2022-05-15 00:00:00,DOT/USDT,10.9889,13.0,10.6187,11.8462,4325.776195298594,365.16150287
1652486400000,2022-05-14 00:00:00,DOT/USDT,10.7738,11.5475,9.88,11.5112,2120.5089616116884,184.21267649
1652400000000,2022-05-13 00:00:00,DOT/USDT,8.6218,15.29,8.6218,10.4436,119873.93449162872,11478.21962653
1652313600000,2022-05-12 00:00:00,DOT/USDT,9.0309,9.3,7.4026,8.7613,10871.102408733877,1240.80928729
1652227200000,2022-05-11 00:00:00,DOT/USDT,11.2318,11.5,8.1,8.9099,21659.98221549441,2431.00171893
1652140800000,2022-05-10 00:00:00,DOT/USDT,10.6205,12.4748,10.4257,11.32,12222.4971754348,1079.72589889
1652054400000,2022-05-09 00:00:00,DOT/USDT,13.0462,13.1331,10.6,10.6,20588.512021939998,1942.3124549
1651968000000,2022-05-08 00:00:00,DOT/USDT,13.7237,13.7237,13.07,13.21,2134.948523801,161.6160881
1651881600000,2022-05-07 00:00:00,DOT/USDT,14.2269,14.2819,13.49,13.49,1825.8398159020999,135.34765129
1651795200000,2022-05-06 00:00:00,DOT/USDT,14.5647,17,14.1735,14.2457,2016.536787077428,141.55406804
1651708800000,2022-05-05 00:00:00,DOT/USDT,16.3532,17.91,14.1232,14.5,12555.255408140001,865.87968332
1651622400000,2022-05-04 00:00:00,DOT/USDT,15.0109,16.34,15.0,16.34,6932.7410384454,424.28035731
1651536000000,2022-05-03 00:00:00,DOT/USDT,14.9498,15.1546,14.5737,14.744,3891.5245513682403,263.93953821
1651449600000,2022-05-02 00:00:00,DOT/USDT,15.4612,15.5413,14.6478,15.0146,3416.817954889658,227.56636573
1651363200000,2022-05-01 00:00:00,DOT/USDT,14.6715,15.5316,14.6715,15.3839,7554.114460112192,491.04027328
1651276800000,2022-04-30 00:00:00,DOT/USDT,16.4099,16.4099,14.25,14.5641,4124.876545551264,283.22220704
1651190400000,2022-04-29 00:00:00,DOT/USDT,16.8,16.87,16.0612,16.1061,2208.3148590480123,137.11046492
1651104000000,2022-04-28 00:00:00,DOT/USDT,16.9347,17.3483,16.79,17.0204,6829.789057961039,401.2707726
1651017600000,2022-04-27 00:00:00,DOT/USDT,16.655,19.8018,16.655,16.8597,13322.540286379468,790.20031711
1650931200000,2022-04-26 00:00:00,DOT/USDT,18.1188,18.1188,16.5,16.5406,2079.872527712586,125.74347531
1650844800000,2022-04-25 00:00:00,DOT/USDT,17.9238,18.1424,17.1299,18.123,3878.40252646959,214.00444333
1650672000000,2022-04-23 00:00:00,DOT/USDT,18.2796,19.0962,18.2796,18.9416,598.1628425977681,31.57931973
1650585600000,2022-04-22 00:00:00,DOT/USDT,18.2005,18.481,18.0726,18.3883,2811.808946381407,152.91293629
1650499200000,2022-04-21 00:00:00,DOT/USDT,19.1705,19.1705,19.1705,19.1705,0.016882500825,0.00088065
1650412800000,2022-04-20 00:00:00,DOT/USDT,18.7908,19.4037,18.5954,19.0463,4194.240108185946,220.21285542
1650326400000,2022-04-19 00:00:00,DOT/USDT,18.221,18.9,17.0556,18.79,7278.382284767499,387.35403325
1650240000000,2022-04-18 00:00:00,DOT/USDT,17.8792,18.3155,17.0301,18.1171,5261.171212243257,290.39808867
1650153600000,2022-04-17 00:00:00,DOT/USDT,18.5578,18.6864,17.8,17.8,844.553624196,47.44683282
