https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume FLOW,Volume USDT,tradecount
1679616000000,2023-03-24,FLOWUSDT,1.024,1.025,0.963,0.978,5447740.9,5416896.6754,17345
1679529600000,2023-03-23,FLOWUSDT,0.989,1.045,0.968,1.024,7627034.13,7686739.333,27806
1679443200000,2023-03-22,FLOWUSDT,1.065,1.066,0.953,0.988,10581929.73,10792922.75917,44332
1679356800000,2023-03-21,FLOWUSDT,1.036,1.148,0.999,1.065,23978239.01,25943537.53603,100790
1679270400000,2023-03-20,FLOWUSDT,1.076,1.093,1.004,1.037,10252140.72,10759428.51811,40692
1679184000000,2023-03-19,FLOWUSDT,1.04,1.109,1.033,1.075,6580878.19,7070510.20773,32973
1679097600000,2023-03-18,FLOWUSDT,1.075,1.101,1.024,1.04,8185751.23,8732109.29032,33926
1679011200000,2023-03-17,FLOWUSDT,0.995,1.075,0.981,1.075,6720308.05,6968483.23115,26574
1678924800000,2023-03-16,FLOWUSDT,0.967,1.009,0.956,0.996,5266512.01,5169152.33093,21149
1678838400000,2023-03-15,FLOWUSDT,1.039,1.062,0.944,0.967,9898802.55,9951437.62292,40334
1678752000000,2023-03-14,FLOWUSDT,0.987,1.258,0.95,1.039,12335058.46,12633245.10835,46301
1678665600000,2023-03-13,FLOWUSDT,0.932,1.002,0.91,0.987,8881905.98,8478134.76309,32976
1678579200000,2023-03-12,FLOWUSDT,0.867,0.935,0.843,0.93,3928649.08,3445172.80887,18133
1678492800000,2023-03-11,FLOWUSDT,0.879,0.903,0.827,0.867,5228914.59,4494525.90505,18460
1678406400000,2023-03-10,FLOWUSDT,0.891,0.895,0.814,0.878,8844587.73,7599282.97867,30544
1678320000000,2023-03-09,FLOWUSDT,0.949,0.979,0.869,0.892,6858934.75,6369001.6303,23926
1678233600000,2023-03-08,FLOWUSDT,1.013,1.018,0.939,0.948,4723193.56,4600298.45774,16979
1678147200000,2023-03-07,FLOWUSDT,1.053,1.065,0.991,1.013,5094481.51,5190333.99624,17024
1678060800000,2023-03-06,FLOWUSDT,1.046,1.073,1.012,1.052,5278122.98,5481763.551,18593
1677974400000,2023-03-05,FLOWUSDT,1.054,1.077,1.04,1.046,2529837.75,2679825.90788,10748
1677888000000,2023-03-04,FLOWUSDT,1.08,1.091,1.023,1.054,3044503.87,3224476.12841,11725
1677801600000,2023-03-03,FLOWUSDT,1.144,1.146,1.026,1.08,6487232.37,6907564.43758,27483
1677715200000,2023-03-02,FLOWUSDT,1.195,1.21,1.115,1.144,4107350.72,4727614.07065,16870
