Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1555459200.0,2019-04-17,ETHUSD,175.9,175.9,173.35,173.85,70.91,12410.75
1555372800.0,2019-04-16,ETHUSD,170,177.53,169.9,175.9,264.58,46131.13
1555286400.0,2019-04-15,ETHUSD,175.44,177,165,170,297.53,51021.62
1555200000.0,2019-04-14,ETHUSD,172.81,175.44,171,175.44,173.7,30035.6
1555113600.0,2019-04-13,ETHUSD,173.24,174.25,171,172.81,124.59,21496.83
1555027200.0,2019-04-12,ETHUSD,171.53,175.01,167.14,173.24,285.82,49087.07
1554940800.0,2019-04-11,ETHUSD,183.99,183.99,166.33,171.53,1064.67,184387.72
1554854400.0,2019-04-10,ETHUSD,182.59,189.15,175.22,183.99,357.58,65895.94
1554768000.0,2019-04-09,ETHUSD,183.37,186.1,180,182.59,124.65,22941.25
1554681600.0,2019-04-08,ETHUSD,179.75,189.11,179.75,183.37,28.48,5340.92
1554595200.0,2019-04-07,ETHUSD,172.01,179.8,171,179.75,5.323,935.06
1554508800.0,2019-04-06,ETHUSD,169.88,175.88,167.01,172.01,14.79,2513.68
1554422400.0,2019-04-05,ETHUSD,159.37,171.69,159.37,169.88,7.489,1256.05
1554336000.0,2019-04-04,ETHUSD,165.43,166.92,156.53,159.37,16.96,2764.88
1554249600.0,2019-04-03,ETHUSD,165,181.55,162.07,165.43,19.56,3381.98
1554163200.0,2019-04-02,ETHUSD,144.05,165,144,165,16.32,2509.26
1554076800.0,2019-04-01,ETHUSD,146.31,146.68,144,144.05,5.603,815.4
1553990400.0,2019-03-31,ETHUSD,145.33,146.5,144,146.31,14.89,2169.69
1553904000.0,2019-03-30,ETHUSD,145.98,149,144.82,145.33,3.578,525.88
1553817600.0,2019-03-29,ETHUSD,143.45,146.19,142.1,145.98,27.13,3937.42
1553731200.0,2019-03-28,ETHUSD,144.5,144.99,142,143.45,3.104,443.48
1553644800.0,2019-03-27,ETHUSD,139.66,145,139.66,144.5,15.98,2283.65
