https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ADA
1654905600000,2022-06-11 00:00:00,ADA/USDT,0.57999899,0.61506159,0.5,0.55143651,14821.85454668467,26878.62388126
1654819200000,2022-06-10 00:00:00,ADA/USDT,0.62765417,0.632324,0.56,0.57573952,23703.94637343966,41171.30325436
1654732800000,2022-06-09 00:00:00,ADA/USDT,0.63716995,0.65700839,0.62693771,0.63040642,8505.585217405986,13492.2249323
1654646400000,2022-06-08 00:00:00,ADA/USDT,0.61381004,0.66783657,0.61054357,0.64020224,11507.256181975923,17974.40787145
1654560000000,2022-06-07 00:00:00,ADA/USDT,0.60729448,0.641885,0.57573952,0.62165948,11246.879385766922,18091.70413643
1654473600000,2022-06-06 00:00:00,ADA/USDT,0.5675,0.641885,0.5675,0.61055357,12041.275576099682,19721.8985651
1654387200000,2022-06-05 00:00:00,ADA/USDT,0.56058242,0.57999999,0.5546319,0.566,7006.981544724499,12379.82605075
1654300800000,2022-06-04 00:00:00,ADA/USDT,0.56172545,0.57078959,0.5466767,0.5609,5779.559559472919,10304.0819388
1654214400000,2022-06-03 00:00:00,ADA/USDT,0.58191654,0.60207319,0.54232056,0.55620029,3709.133893671736,6668.70183342
1654128000000,2022-06-02 00:00:00,ADA/USDT,0.5557628,0.59568221,0.55168037,0.58929742,9377.816577886433,15913.55444571
1654041600000,2022-06-01 00:00:00,ADA/USDT,0.6244729,0.62972021,0.53835026,0.55168037,10165.978933465221,18427.29864299
1653955200000,2022-05-31 00:00:00,ADA/USDT,0.56962811,0.68432936,0.56962811,0.62705163,25540.87508282351,40731.69394811
1653868800000,2022-05-30 00:00:00,ADA/USDT,0.48216171,0.575,0.48021685,0.56962811,11182.876051694666,19631.88939481
1653782400000,2022-05-29 00:00:00,ADA/USDT,0.46261127,0.48184141,0.4577007,0.48184141,1816.7094922230112,3770.34736849
1653696000000,2022-05-28 00:00:00,ADA/USDT,0.45619329,0.46843894,0.45043242,0.46843894,3161.670322940291,6749.37553855
1653609600000,2022-05-27 00:00:00,ADA/USDT,0.47857041,0.47857041,0.44525659,0.45559903,3761.185504713833,8255.47303012
1653523200000,2022-05-26 00:00:00,ADA/USDT,0.51606408,0.52,0.46230409,0.48713755,3867.4444802640637,7939.12208218
1653436800000,2022-05-25 00:00:00,ADA/USDT,0.52841542,0.52841542,0.51,0.51217207,1071.353728951285,2091.78475693
1653350400000,2022-05-24 00:00:00,ADA/USDT,0.51563019,0.52647786,0.49092159,0.52647786,3100.740135728273,5889.59265206
1653264000000,2022-05-23 00:00:00,ADA/USDT,0.54753612,0.55671815,0.51333333,0.51333333,3526.1949193674973,6869.21092649
1653177600000,2022-05-22 00:00:00,ADA/USDT,0.5267105,0.54686475,0.5213909,0.53481751,713.8043078430527,1334.66891883
1653091200000,2022-05-21 00:00:00,ADA/USDT,0.51413641,0.5370121,0.51100405,0.52568217,1724.8227410558484,3281.1132648
1653004800000,2022-05-20 00:00:00,ADA/USDT,0.52589775,0.54350204,0.50396385,0.51560758,5330.217572890548,10337.74090926
1652918400000,2022-05-19 00:00:00,ADA/USDT,0.5,0.54530262,0.5,0.53228451,5533.9391201893195,10396.5811821
1652832000000,2022-05-18 00:00:00,ADA/USDT,0.58147431,0.58280855,0.51219574,0.51219574,6406.894917888913,12508.68450778
1652745600000,2022-05-17 00:00:00,ADA/USDT,0.56232343,0.60090934,0.55092273,0.58274388,11829.56415738361,20299.76558035
1652659200000,2022-05-16 00:00:00,ADA/USDT,0.6,0.60925922,0.54841407,0.5564746,13525.324937986617,24305.37698933
