https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1684281600,2023-05-17,ADA/USD,0.367862,0.379532,0.365494,0.376946,7317.446737,2758.282277725202
1684195200,2023-05-16,ADA/USD,0.368273,0.370234,0.363173,0.36741,10665.485634,3918.6060767879403
1684108800,2023-05-15,ADA/USD,0.371429,0.375212,0.368,0.368,19305.617208,7104.4671325439995
1684022400,2023-05-14,ADA/USD,0.365835,0.373,0.364486,0.370972,7153.760298,2653.8447652696564
1683936000,2023-05-13,ADA/USD,0.37082,0.37082,0.36463,0.365921,7402.864378,2708.863536062138
1683849600,2023-05-12,ADA/USD,0.360505,0.371,0.356689,0.371,21042.087364,7806.614412043999
1683763200,2023-05-11,ADA/USD,0.37138,0.37138,0.351,0.360061,27101.58156,9758.22255807516
1683676800,2023-05-10,ADA/USD,0.364979,0.372898,0.357212,0.371496,12494.527645,4641.66704200692
1683590400,2023-05-09,ADA/USD,0.366034,0.370112,0.362519,0.36453,3314.826789,1208.3538093941702
1683504000,2023-05-08,ADA/USD,0.376487,0.379745,0.35794,0.365584,28273.259669,10336.251362831696
1683417600,2023-05-07,ADA/USD,0.380986,0.383922,0.37637,0.37637,4817.946371,1813.33047565327
1683331200,2023-05-06,ADA/USD,0.39422,0.395678,0.3771,0.380867,47184.322316,17970.951287527972
1683244800,2023-05-05,ADA/USD,0.388043,0.397999,0.386204,0.393538,27357.889956,10766.369297504327
1683158400,2023-05-04,ADA/USD,0.395271,0.396216,0.385245,0.387448,47109.887553,18252.631712634746
1683072000,2023-05-03,ADA/USD,0.393254,0.3966,0.380411,0.395394,28488.738972,11264.276457094968
1682985600,2023-05-02,ADA/USD,0.388099,0.397003,0.384803,0.393256,10652.850687,4189.297449766872
1682899200,2023-05-01,ADA/USD,0.397943,0.398433,0.38381,0.38822,107621.462384,41780.80412671648
1682812800,2023-04-30,ADA/USD,0.404121,0.414489,0.39586,0.397783,34985.03882,13916.45369693606
1682726400,2023-04-29,ADA/USD,0.405223,0.41,0.402611,0.404257,10835.248905,4380.225216588585
1682640000,2023-04-28,ADA/USD,0.411921,0.422547,0.399949,0.405722,19007.565455,7711.78747153351
1682553600,2023-04-27,ADA/USD,0.402085,0.421,0.402085,0.412075,27326.261084,11260.4690361893
1682467200,2023-04-26,ADA/USD,0.395667,0.416625,0.381774,0.40155,109499.251913,43969.424605665154
1682380800,2023-04-25,ADA/USD,0.385739,0.395217,0.380001,0.395217,8850.62261,3497.91651605637
1682294400,2023-04-24,ADA/USD,0.389946,0.397079,0.382363,0.385821,14049.092621,5420.434964126841
