https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume APT,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1697673600000,2023-10-19 00:00:00,APT/USDT,4.946,5.048,4.828,4.915,1136192.439,229092.99487,566326.081,114194.52215,16166,4.959
1697587200000,2023-10-18 00:00:00,APT/USDT,5.012,5.038,4.902,4.948,1213265.412,244276.20139,616953.521,124223.88929,17355,4.966
1697500800000,2023-10-17 00:00:00,APT/USDT,5.078,5.132,4.921,5.012,1649033.257,327213.45313,825729.372,163847.64106,23395,5.039
1697414400000,2023-10-16 00:00:00,APT/USDT,4.93,5.216,4.914,5.077,1431448.61,285052.15848,711481.977,141665.1517,20496,5.022
1697328000000,2023-10-15 00:00:00,APT/USDT,4.952,4.955,4.873,4.932,591837.539,120464.46719,294401.597,59925.13467,8431,4.913
1697241600000,2023-10-14 00:00:00,APT/USDT,4.903,4.974,4.894,4.951,719936.186,145768.66172,362814.033,73460.43807,10179,4.938
1697155200000,2023-10-13 00:00:00,APT/USDT,4.839,4.969,4.81,4.9,914826.305,188142.40598,466480.416,95951.72474,12973,4.862
1697068800000,2023-10-12 00:00:00,APT/USDT,4.845,4.938,4.733,4.843,1018376.775,210922.31973,503958.611,104377.88025,14442,4.828
1696982400000,2023-10-11 00:00:00,APT/USDT,4.919,4.941,4.746,4.845,1163382.722,241033.66457,582181.225,120618.23761,16577,4.826
1696896000000,2023-10-10 00:00:00,APT/USDT,4.961,5.001,4.842,4.921,1484118.194,301284.52899,742513.559,150716.77322,21002,4.926
1696809600000,2023-10-09 00:00:00,APT/USDT,5.201,5.224,4.865,4.963,1917994.025,378981.11124,962006.239,190054.32536,27143,5.063
1696723200000,2023-10-08 00:00:00,APT/USDT,5.272,5.295,5.197,5.203,1921742.164,367027.1177,960688.011,183478.40731,27106,5.236
1696636800000,2023-10-07 00:00:00,APT/USDT,5.325,5.358,5.23,5.273,2750761.054,520181.45122,1387591.684,262400.77299,38614,5.288
1696550400000,2023-10-06 00:00:00,APT/USDT,5.224,5.362,5.204,5.325,3242147.759,614216.19433,1631010.846,308985.05504,45875,5.278
1696464000000,2023-10-05 00:00:00,APT/USDT,5.321,5.36,5.21,5.221,2870706.076,543076.80391,1425381.954,269652.68487,40663,5.286
1696377600000,2023-10-04 00:00:00,APT/USDT,5.349,5.35,5.14,5.321,3220343.659,610529.36057,1626859.652,308429.85735,45689,5.274
1696291200000,2023-10-03 00:00:00,APT/USDT,5.443,5.463,5.325,5.354,4026847.431,746053.53343,2018350.512,373935.61076,56891,5.397
1696204800000,2023-10-02 00:00:00,APT/USDT,5.673,5.752,5.368,5.444,1680067.02,301384.26627,846325.878,151822.67535,24012,5.576
1696118400000,2023-10-01 00:00:00,APT/USDT,5.492,5.705,5.453,5.671,869125.21,156962.43288,437653.422,79049.59261,12428,5.537
1696032000000,2023-09-30 00:00:00,APT/USDT,5.406,5.52,5.33,5.493,974385.479,179959.65251,489452.69,90374.22504,13968,5.414
1695945600000,2023-09-29 00:00:00,APT/USDT,5.338,5.548,5.325,5.406,1510802.642,278384.5293,764145.116,140811.48628,21593,5.427
1695859200000,2023-09-28 00:00:00,APT/USDT,5.324,5.408,5.282,5.336,1512578.756,283139.58531,759790.922,142229.51299,21286,5.342
1695772800000,2023-09-27 00:00:00,APT/USDT,5.316,5.347,5.218,5.32,1138442.686,215638.89203,569706.452,107900.7526,16183,5.279
1695686400000,2023-09-26 00:00:00,APT/USDT,5.565,5.658,5.238,5.315,881397.096,161849.59389,444366.806,81624.42259,12648,5.447
1695600000000,2023-09-25 00:00:00,APT/USDT,5.312,5.783,5.3,5.566,977717.851,176044.13736,498151.295,89682.23586,13939,5.554
1695513600000,2023-09-24 00:00:00,APT/USDT,5.155,5.429,5.103,5.311,384275.498,73440.68478,190014.506,36314.33995,5575,5.234
1695427200000,2023-09-23 00:00:00,APT/USDT,5.137,5.193,5.078,5.153,522767.183,101765.00512,257476.743,50128.16184,7553,5.137
1695340800000,2023-09-22 00:00:00,APT/USDT,5.1,5.159,5.057,5.134,789617.324,154091.71895,390345.574,76171.37619,11341,5.124
1695254400000,2023-09-21 00:00:00,APT/USDT,5.175,5.25,5.041,5.1,971490.168,189438.86837,487989.737,95177.0096,13906,5.128
1695168000000,2023-09-20 00:00:00,APT/USDT,5.231,5.263,5.101,5.176,925940.263,179046.15323,462674.804,89465.94331,13150,5.171
1695081600000,2023-09-19 00:00:00,APT/USDT,5.187,5.274,5.156,5.229,947499.86,182174.15396,470013.888,90370.05807,13353,5.201
1694995200000,2023-09-18 00:00:00,APT/USDT,5.232,5.391,5.168,5.188,859689.299,163471.76254,428931.284,81558.8484,12253,5.259
1694908800000,2023-09-17 00:00:00,APT/USDT,5.321,5.667,5.176,5.233,549166.186,104578.10354,274799.378,52340.26474,7976,5.251
1694822400000,2023-09-16 00:00:00,APT/USDT,5.278,5.359,5.254,5.323,765140.513,144158.11478,380058.421,71602.98632,10964,5.307
1694736000000,2023-09-15 00:00:00,APT/USDT,5.223,5.306,5.134,5.272,810707.564,155432.99348,404063.879,77468.62418,11503,5.216
1694649600000,2023-09-14 00:00:00,APT/USDT,5.19,5.323,5.146,5.221,1084429.293,208290.10775,542244.755,104155.00251,15569,5.206
1694563200000,2023-09-13 00:00:00,APT/USDT,5.042,5.329,5.03,5.189,1305059.958,252365.2398,644729.39,124672.16211,18516,5.172
1694476800000,2023-09-12 00:00:00,APT/USDT,5.013,5.198,4.992,5.042,1673145.038,330014.96715,836049.923,164896.78648,23986,5.07
1694390400000,2023-09-11 00:00:00,APT/USDT,5.177,5.192,4.915,5.014,1435110.796,285179.84784,718424.375,142724.24981,20487,5.033
1694304000000,2023-09-10 00:00:00,APT/USDT,5.49,5.493,5.105,5.175,881102.231,167969.71164,433506.648,82637.52229,12674,5.246
1694217600000,2023-09-09 00:00:00,APT/USDT,5.526,5.535,5.461,5.491,1256199.065,228195.82884,630610.164,114553.83659,17615,5.504
1694131200000,2023-09-08 00:00:00,APT/USDT,5.65,5.67,5.467,5.527,2275196.741,409516.12392,1150969.166,207163.59248,32402,5.556
1694044800000,2023-09-07 00:00:00,APT/USDT,5.538,5.669,5.49,5.651,2187962.643,391170.0884,1099631.548,196595.72381,31275,5.593
1693958400000,2023-09-06 00:00:00,APT/USDT,5.53,5.58,5.397,5.539,2045833.289,371683.701,1023994.799,186041.2405,29261,5.504
1693872000000,2023-09-05 00:00:00,APT/USDT,5.526,5.539,5.449,5.531,2358893.096,428805.10421,1179701.631,214456.46911,33828,5.501
1693785600000,2023-09-04 00:00:00,APT/USDT,5.472,5.611,5.428,5.526,4682268.965,846947.73305,2323915.625,420336.28618,66701,5.528
1693699200000,2023-09-03 00:00:00,APT/USDT,5.593,5.612,5.409,5.473,6770012.194,1225979.5421,3388514.645,613615.24289,95787,5.522
1693612800000,2023-09-02 00:00:00,APT/USDT,5.532,5.671,5.483,5.597,7636294.233,1366381.3519,3857957.169,690313.21695,107915,5.588
1693526400000,2023-09-01 00:00:00,APT/USDT,5.547,5.627,5.427,5.518,8077727.738,1455754.8385,4053379.62,730467.2189,115204,5.549
1693440000000,2023-08-31 00:00:00,APT/USDT,5.869,5.912,5.528,5.54,8604789.623,1492114.59117,4344218.902,753432.18672,124607,5.77
1693353600000,2023-08-30 00:00:00,APT/USDT,5.963,5.994,5.826,5.874,10069430.173,1707310.7929,5093800.742,863663.89732,142055,5.897
1693267200000,2023-08-29 00:00:00,APT/USDT,5.745,6.122,5.597,5.939,5189077.646,898972.52098,2586291.976,448050.11651,75207,5.774
1693180800000,2023-08-28 00:00:00,APT/USDT,5.691,5.765,5.6,5.745,6191542.91,1085947.20893,3104468.793,544486.76819,89309,5.701
1693094400000,2023-08-27 00:00:00,APT/USDT,5.755,5.796,5.671,5.702,8996929.297,1570723.70668,4544994.994,793481.43336,127520,5.727
1693008000000,2023-08-26 00:00:00,APT/USDT,5.695,5.82,5.667,5.738,9177088.51,1595857.69715,4624941.197,804269.90076,129100,5.75
