https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1663977600,2022-09-24,DOGE/USD,0.06342,0.06844,0.063,0.06317,203944.805656,12883.193373289521
1663891200,2022-09-23,DOGE/USD,0.06078,0.0643,0.05991,0.06338,1062825.721102,67361.89420344477
1663804800,2022-09-22,DOGE/USD,0.0591,0.06245,0.0568,0.05977,31436.957424,1878.98694523248
1663718400,2022-09-21,DOGE/USD,0.06015,0.06219,0.05667,0.0592,38450.873069,2276.2916856848
1663632000,2022-09-20,DOGE/USD,0.0627,0.0632,0.05667,0.06,44318.44398,2659.1066387999995
1663545600,2022-09-19,DOGE/USD,0.0581,0.06378,0.0562,0.0627,75573.809003,4738.477824488101
1663459200,2022-09-18,DOGE/USD,0.06061,0.06378,0.0571,0.0605,49263.163412,2980.421386426
1663372800,2022-09-17,DOGE/USD,0.06169,0.0639,0.05988,0.06329,17712.812223,1121.04388559367
1663286400,2022-09-16,DOGE/USD,0.0585,0.0639,0.0585,0.05976,57393.242747,3429.82018656072
1663200000,2022-09-15,DOGE/USD,0.0608,0.06218,0.059,0.05903,27714.284448,1635.9742109654399
1663113600,2022-09-14,DOGE/USD,0.06106,0.0651,0.0585,0.06134,50940.563695,3124.6941770513
1663027200,2022-09-13,DOGE/USD,0.06549,0.0657,0.05976,0.05976,88020.577253,5260.10969663928
1662940800,2022-09-12,DOGE/USD,0.06449,0.06599,0.06212,0.06494,47491.458011,3084.09528323434
1662854400,2022-09-11,DOGE/USD,0.06548,0.06548,0.063,0.06325,61521.693593,3891.2471197572504
1662768000,2022-09-10,DOGE/USD,0.06398,0.078,0.06379,0.065,238653.619189,15512.485247285
1662681600,2022-09-09,DOGE/USD,0.06119,0.06526,0.06119,0.06405,72194.45903,4624.055100871499
1662595200,2022-09-08,DOGE/USD,0.06154,0.066,0.0599,0.06101,51524.244688,3143.49416841488
1662508800,2022-09-07,DOGE/USD,0.05892,0.06345,0.05797,0.06135,43716.401031,2682.0012032518503
1662422400,2022-09-06,DOGE/USD,0.06427,0.06427,0.0585,0.05913,156007.742863,9224.73783548919
1662336000,2022-09-05,DOGE/USD,0.06393,0.06393,0.06052,0.06275,30906.718748,1939.396601437
1662249600,2022-09-04,DOGE/USD,0.06247,0.06566,0.06246,0.06343,16865.509482,1069.77926644326
1662163200,2022-09-03,DOGE/USD,0.06155,0.06407,0.06155,0.06182,15098.313536,933.37774279552
1662076800,2022-09-02,DOGE/USD,0.06235,0.06696,0.06092,0.06092,62723.996486,3821.1458659271198
1661990400,2022-09-01,DOGE/USD,0.06162,0.06662,0.06026,0.06219,88769.601944,5520.58154489736
1661904000,2022-08-31,DOGE/USD,0.06589,0.067,0.0605,0.06431,43246.307234,2781.1700182185405
1661817600,2022-08-30,DOGE/USD,0.06389,0.06888,0.06051,0.0655,84850.960267,5557.7378974885005
1661731200,2022-08-29,DOGE/USD,0.06768,0.06889,0.06101,0.06888,61488.189948,4235.30652361824
1661644800,2022-08-28,DOGE/USD,0.06329,0.0678,0.0622,0.0622,27286.793142,1697.2385334324
