https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOGE
1654992000000,2022-06-12 00:00:00,DOGE/USD,0.07542952,0.07568218,0.0685902,0.06880814,43182.5839767319,627579.58544922
1654905600000,2022-06-11 00:00:00,DOGE/USD,0.08071644,0.082,0.07347954,0.0751804,22685.48302960315,301747.30421231
1654819200000,2022-06-10 00:00:00,DOGE/USD,0.08387311,0.08417569,0.07929661,0.08065361,24964.168758905595,309523.26571502
1654732800000,2022-06-09 00:00:00,DOGE/USD,0.08372714,0.08535678,0.0835,0.08378968,25066.62976158921,299161.3019836
1654646400000,2022-06-08 00:00:00,DOGE/USD,0.08443031,0.08554381,0.083,0.0836668,25033.537215923385,299205.14727375
1654560000000,2022-06-07 00:00:00,DOGE/USD,0.08562997,0.08602631,0.081414,0.08441506,28028.568353012965,332032.79548712
1654473600000,2022-06-06 00:00:00,DOGE/USD,0.0858946,0.08879735,0.08504671,0.08605413,35292.84087396814,410123.73112096
1654387200000,2022-06-05 00:00:00,DOGE/USD,0.0867397,0.08709999,0.08540203,0.08594715,28795.26615293051,335034.56662531
1654300800000,2022-06-04 00:00:00,DOGE/USD,0.08492581,0.08699048,0.08405465,0.0865441,41910.90571800459,484272.2463808
1654214400000,2022-06-03 00:00:00,DOGE/USD,0.08647681,0.08685327,0.08400001,0.08485423,29017.129841097536,341964.44704168
1654128000000,2022-06-02 00:00:00,DOGE/USD,0.08463248,0.08707419,0.08379585,0.08667371,54925.48570103354,633704.10359766
1654041600000,2022-06-01 00:00:00,DOGE/USD,0.08884001,0.092,0.083,0.08457422,36825.78434428068,435425.64559603
1653955200000,2022-05-31 00:00:00,DOGE/USD,0.09198518,0.09229054,0.08657136,0.08888957,36387.086152966345,409351.58256437
1653868800000,2022-05-30 00:00:00,DOGE/USD,0.0874116,0.0923008,0.08696115,0.09172001,40027.81651193341,436413.12851943
1653782400000,2022-05-29 00:00:00,DOGE/USD,0.08742239,0.08812414,0.08549013,0.08764611,26874.44515003659,306624.5056402
